date,im_correction_factor
2024-07-18,0.95481354
2024-07-19,0.9547451
2024-07-22,0.95312715
2024-07-23,0.95546466
2024-07-24,0.9470027
2024-07-25,0.95312715
2024-07-26,0.9513936
2024-07-29,0.9550795
2024-07-30,0.9575409
2024-07-31,0.9594207
2024-08-01,0.9602545
2024-08-02,0.9637108
2024-08-05,0.9488837
2024-08-06,0.9452318
2024-08-07,0.9477442
2024-08-08,0.9479469
2024-08-09,0.9452199
2024-08-12,0.9539087
2024-08-13,0.9512991
2024-08-14,0.952033
2024-08-15,0.9476597
2024-08-16,0.95440376
2024-08-19,0.954485
2024-08-20,0.952297
2024-08-21,0.95476705
2024-08-22,0.94589585
2024-08-23,0.9456009
2024-08-26,0.9474581
2024-08-27,0.95695424
2024-08-28,0.9580629
2024-08-29,0.9580658
2024-08-30,0.95598894
2024-09-03,0.9555112
2024-09-04,0.9546854
2024-09-05,0.94394034
2024-09-06,0.95699775
2024-09-09,0.954365
2024-09-10,0.959194
2024-09-11,0.94438064
2024-09-12,0.9506587
2024-09-13,0.9540138
2024-09-16,0.9591566
2024-09-17,0.95708495
2024-09-18,0.95425296
2024-09-19,0.94513327
2024-09-20,0.94918394
2024-09-23,0.9520324
2024-09-24,0.95420647
2024-09-25,0.95786774
2024-09-26,0.95695883
2024-09-27,0.948507
2024-09-30,0.9527978
2024-10-01,0.95785683
2024-10-02,0.9565358
2024-10-03,0.94878674
2024-10-04,0.9355816
2024-10-07,0.95358527
2024-10-08,0.9519801
2024-10-09,0.95444405
2024-10-10,0.9574328
2024-10-11,0.95098364
2024-10-14,0.95174235
2024-10-15,0.9385291
2024-10-16,0.9495506
2024-10-17,0.9481576
2024-10-18,0.9536233
2024-10-21,0.95448947
2024-10-22,0.9571427
2024-10-23,0.953754
2024-10-24,0.95009476
2024-10-25,0.9537267
2024-10-28,0.937867
2024-10-29,0.95161694
2024-10-30,0.94218504
2024-10-31,0.9573668
2024-11-01,0.95464873
2024-11-04,0.9586325
2024-11-05,0.94662195
2024-11-06,0.95077133
2024-11-07,0.9487995
2024-11-08,0.94457203
2024-11-11,0.9497391
2024-11-12,0.9443137
2024-11-13,0.9507835
2024-11-14,0.9439038
2024-11-15,0.9549716
2024-11-18,0.95274645
2024-11-19,0.95454
2024-11-20,0.95249796
2024-11-21,0.9526202
2024-11-22,0.95196766
2024-11-25,0.9541181
2024-11-26,0.950154
2024-11-27,0.9467027
