removed_feature,r2_score,performance_drop
iv_vol_ratio,-5.373154798017104,0.022011751320307305
atm_iv_mom_1,-5.36906458360827,0.017921536911472913
OVX_Close_ma_2,-5.367129136023035,0.015986089326237796
T,-5.366728103171,0.01558505647420283
implied_kurtosis_lag_1,-5.366323309843386,0.015180263146588935
rho_lag_1,-5.364867770041732,0.013724723344934908
implied_variance_mom_1,-5.362947388621118,0.01180434192432056
atm_iv_ma_2,-5.362090051912569,0.010947005215771632
vol_regime_low,-5.362040339172797,0.010897292475999798
F,-5.361367821439146,0.010224774742348508
atm_iv_lag_1,-5.36094586484482,0.009802818148022752
term_structure_interaction,-5.360523463000209,0.009380416303412353
OVX_Close_mom_1,-5.360014852748694,0.008871806051897302
nu,-5.359884924619323,0.008741877922526342
rho_vol_interaction,-5.359234232224378,0.008091185527581146
implied_skew,-5.358794522161548,0.007651475464751201
implied_skew_mom_1,-5.358500730196381,0.007357683499583878
implied_skew_lag_1,-5.358398997189522,0.007255950492725205
r,-5.358212675970732,0.00706962927393473
iv_rmse,-5.357249704830272,0.006106658133474774
rho_ma_2,-5.3572292911325645,0.0060862444357674406
vol_momentum,-5.357132056811203,0.0059890101144057795
skew_kurt_interaction,-5.356655314207383,0.0055122675105856445
vol_regime_high,-5.356404109084471,0.005261062387673654
skew_level,-5.355970002202895,0.0048269555060977964
implied_skew_ma_2,-5.355419445655044,0.00427639895824683
rho_mom_1,-5.3549835276162305,0.0038404809194334533
implied_kurtosis_mom_1,-5.353625237857598,0.0024821911608006175
implied_kurtosis,-5.353504777096318,0.0023617303995209227
rho,-5.352744084211675,0.0016010375148782785
