"Symbol: CLM26",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2023-02-07,64.78,65.21,64.78,64.78,0,3,4666
2023-02-08,65.43,65.43,65.43,65.43,0.6500000000000057,10,4676
2023-02-09,65.18,65.18,65.18,65.18,-0.25,7,4676
2023-02-10,65.81,65.81,65.81,65.81,0.6299999999999955,3,4676
2023-02-13,66.52,66.52,66.52,66.52,0.7099999999999937,,4676
2023-02-14,66.46,66.46,66.39,66.46,-0.060000000000002274,,4676
2023-02-15,66.7,66.7,65.99,66.7,0.2400000000000091,4,4676
2023-02-16,66.79,66.79,66.49,66.79,0.09000000000000341,34,4704
2023-02-17,65.77,65.77,65.59,65.77,-1.0200000000000102,7,4707
2023-02-21,65.98,66.51,65.98,65.98,0.21000000000000796,,4707
2023-02-22,65.53,65.53,65.29,65.53,-0.45000000000000284,7,4713
2023-02-23,65.67,65.71,65.67,65.67,0.14000000000000057,7,4714
2023-02-24,65.45,65.45,64.94,65.45,-0.21999999999999886,34,4719
2023-02-27,64.67,64.67,64.67,64.67,-0.7800000000000011,,4719
2023-02-28,64.37,64.37,64.37,64.37,-0.29999999999999716,50,4719
2023-03-01,64.73,64.73,64.73,64.73,0.35999999999999943,,4719
2023-03-02,65.11,65.11,65.11,65.11,0.37999999999999545,8,4719
2023-03-03,66.09,66.09,66.09,66.09,0.980000000000004,50,4719
2023-03-06,66.27,66.27,66.27,66.27,0.1799999999999926,97,4719
2023-03-07,64.87,64.87,64.87,64.87,-1.3999999999999915,,4719
2023-03-08,64.64,64.64,64.64,64.64,-0.23000000000000398,86,4762
2023-03-09,64.33,64.33,64.33,64.33,-0.3100000000000023,18,4762
2023-03-10,64.54,64.54,64.54,64.54,0.21000000000000796,,4762
2023-03-13,63.9,63.9,63.7,63.9,-0.6400000000000077,,4762
2023-03-14,62.9,62.9,62.9,62.9,-1,6,4764
2023-03-15,61.56,61.56,61.56,61.56,-1.3399999999999963,1135,5336
2023-03-16,62.25,62.25,61.43,62.25,0.6899999999999977,,5336
2023-03-17,62.13,62.13,62.13,62.13,-0.11999999999999744,1,5335
2023-03-20,62.5,62.5,62.5,62.5,0.36999999999999744,1,5335
2023-03-21,62.9,62.9,62.75,62.75,0.25,2,5336
2023-03-22,62.92,62.92,62.92,62.92,0.1700000000000017,180,5336
2023-03-23,62.88,62.88,62.88,62.88,-0.03999999999999915,,5336
2023-03-24,62.84,62.84,62.28,62.84,-0.03999999999999915,90,5366
2023-03-27,64.14,64.14,64.14,64.14,1.2999999999999972,19,5356
2023-03-28,64.27,64.27,64.27,64.27,0.12999999999999545,,5356
2023-03-29,64.24,64.24,64.24,64.24,-0.030000000000001137,2,5356
2023-03-30,64.24,64.24,64.24,64.24,0,,5356
2023-03-31,64.46,64.46,64.46,64.46,0.21999999999999886,44,5330
2023-04-03,64.85,65.02,64.85,64.85,0.39000000000000057,522,5061
2023-04-04,64.86,64.94,64.86,64.92,0.07000000000000739,67,5095
2023-04-05,64.94,65.07,64.88,65.07,0.14999999999999147,87,5168
2023-04-06,64.87,65.22,64.87,64.93,-0.13999999999998636,87,5198
2023-04-10,64.7,64.7,64.7,64.7,-0.23000000000000398,38,5208
2023-04-11,65.35,65.35,65.35,65.35,0.6499999999999915,100,5306
2023-04-12,65.52,66.09,65.52,66.09,0.7400000000000091,801,5748
2023-04-13,66.24,66.24,66.09,66.09,0,214,5911
2023-04-14,66.28,66.32,66.28,66.32,0.22999999999998977,120,5934
2023-04-17,66.1,66.1,66.1,66.1,-0.21999999999999886,,5934
2023-04-18,66.45,66.45,66.45,66.45,0.3500000000000085,2,5932
2023-04-19,65.82,65.82,65.82,65.82,-0.6300000000000097,4,5929
2023-04-20,64.95,64.95,64.95,64.95,-0.8699999999999903,283,5806
2023-04-21,66.25,66.25,66.25,66.25,1.2999999999999972,116,5806
2023-04-24,66.69,66.69,66.66,66.66,0.4099999999999966,20,5826
2023-04-25,65.3,65.3,65.3,65.3,-1.3599999999999994,,5826
2023-04-26,65.2,65.2,64.76,64.76,-0.539999999999992,36,5854
2023-04-27,64.46,64.46,64.46,64.46,-0.30000000000001137,3,5851
2023-04-28,65.8,65.8,65.8,65.8,1.3400000000000034,19,5853
2023-05-01,65.01,65.01,65.01,65.01,-0.789999999999992,2,5851
2023-05-02,63.67,63.67,63.67,63.67,-1.3400000000000034,137,5854
2023-05-03,62.48,62.48,62.34,62.34,-1.3299999999999983,49,5903
2023-05-04,61.43,61.43,61.43,61.43,-0.9100000000000037,332,5756
2023-05-05,62.82,62.82,62.82,62.82,1.3900000000000006,9,5756
2023-05-08,63.83,63.83,63.83,63.83,1.009999999999998,88,5841
2023-05-09,64.52,64.52,63.57,64.52,0.6899999999999977,,5841
2023-05-10,63.84,64.11,63.84,64.11,-0.4099999999999966,80,5891
2023-05-11,62.98,62.98,62.98,62.98,-1.1300000000000026,25,5887
2023-05-12,62.5,63.15,62.5,62.5,-0.4799999999999969,25,5893
2023-05-15,63.07,63.07,63.07,63.07,0.5700000000000003,73,5855
2023-05-16,63.04,63.04,63.04,63.04,-0.030000000000001137,,5855
2023-05-17,64.31,64.31,64.31,64.31,1.2700000000000031,41,5840
2023-05-18,64.21,64.21,64.21,64.21,-0.10000000000000853,22,5840
2023-05-19,64.2,64.61,63.03,63.03,-1.1799999999999926,29,5823
2023-05-22,63.04,63.16,62.69,63.04,0.00999999999999801,2,5825
2023-05-23,63.56,63.61,63.56,63.56,0.5200000000000031,282,5829
2023-05-24,64.38,64.38,64.38,64.38,0.8199999999999932,314,5836
2023-05-25,63.08,63.08,62.42,63.08,-1.2999999999999972,85,5836
2023-05-26,63.71,63.71,63.71,63.71,0.6300000000000026,16,5847
