Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.16,0.2,0.16,0.19,0.03,+18.75%,640,0
2025-08-22,0.17,0.17,0.16,0.16,-0.02,-11.11%,22,2106
2025-08-21,0.16,0.19,0.15,0.18,0.04,+28.57%,112,2124
2025-08-20,0.15,0.17,0.14,0.14,0.01,+7.69%,157,2123
2025-08-19,0.16,0.16,0.13,0.13,-0.04,-23.53%,428,2278
2025-08-18,0.18,0.18,0.15,0.17,-0.05,-22.73%,40,2057
2025-08-15,0.31,0.31,0.22,0.22,-0.08,-26.67%,370,2080
2025-08-14,0.22,0.3,0.22,0.3,0.11,+57.89%,247,1911
2025-08-13,0.19,0.19,0.17,0.19,-0.03,-13.64%,90,1822
2025-08-12,0.32,0.33,0.22,0.22,-0.07,-24.14%,282,1785
2025-08-11,0.3,0.35,0.28,0.29,-0.05,-14.71%,258,1577
2025-08-08,0.4,0.42,0.32,0.34,-0.06,-15.00%,224,1670
2025-08-07,0.48,0.48,0.4,0.4,-0.11,-21.57%,141,1554
2025-08-06,0.74,0.83,0.46,0.51,-0.16,-23.88%,453,1467
2025-08-05,0.94,0.94,0.67,0.67,-0.31,-31.63%,122,1588
2025-08-04,1.03,1.16,0.98,0.98,-0.36,-26.87%,63,1588
2025-08-01,1.71,1.81,1.33,1.34,-0.39,-22.54%,450,1574
2025-07-31,1.73,1.73,1.73,1.73,-0.27,-13.50%,355,1753
2025-07-30,1.85,2,1.64,2,0.23,+12.99%,199,1742
2025-07-29,1.03,1.8,1.03,1.77,0.73,+70.19%,323,1610
2025-07-28,1.04,1.04,1.04,1.04,0.34,+48.57%,191,1431
2025-07-25,0.89,0.89,0.7,0.7,-0.1,-12.50%,70,1392
2025-07-24,0.71,0.8,0.71,0.8,0.12,+17.65%,96,1427
2025-07-23,0.68,0.68,0.68,0.68,0,0.00%,66,1487
2025-07-22,0.68,0.68,0.68,0.68,-0.1,-12.82%,60,1512
2025-07-21,0.78,0.78,0.78,0.78,-0.1,-11.36%,157,1492
2025-07-18,0.99,1.05,0.88,0.88,-0.07,-7.37%,16,1526
2025-07-17,0.91,0.95,0.91,0.95,0.07,+7.95%,19,1532
2025-07-16,0.88,0.88,0.88,0.88,-0.07,-7.37%,52,1532
2025-07-15,0.95,0.95,0.95,0.95,-0.17,-15.18%,7,1583
2025-07-14,1.6,1.6,1.12,1.12,-0.44,-28.21%,42,1577
2025-07-11,1.49,1.56,1.49,1.56,0.5,+47.17%,165,1542
2025-07-10,1.1,1.1,1.06,1.06,-0.29,-21.48%,1,1462
2025-07-09,1.32,1.35,1.32,1.35,-0.11,-7.53%,23,1463
2025-07-08,1.35,1.53,1.35,1.46,0.06,+4.29%,403,1484
2025-07-07,1.19,1.4,1.19,1.4,0.1,+7.69%,116,1287
2025-07-03,1.25,1.37,1.25,1.3,-0.33,-20.25%,373,1204
2025-07-02,1.09,1.63,1.09,1.63,0.62,+61.39%,78,987
2025-07-01,1.01,1.01,1.01,1.01,-0.01,-0.98%,1,912
2025-06-30,1.02,1.02,1.02,1.02,-0.13,-11.30%,0,913
2025-06-27,1.18,1.18,1.15,1.15,-0.02,-1.71%,2,913
2025-06-26,1.18,1.18,1.17,1.17,0.04,+3.54%,233,912
2025-06-25,1.13,1.13,1.13,1.13,-0.07,-5.83%,4,821
2025-06-24,1.94,1.94,1.2,1.2,-1.39,-53.67%,39,822
2025-06-23,6.51,6.51,2.29,2.59,-2.84,-52.30%,141,823
2025-06-20,5.9,5.9,5.03,5.43,0.01,+0.18%,8,748
2025-06-18,5.55,6,5.42,5.42,-0.07,-1.28%,154,746
2025-06-17,3.94,5.49,3.94,5.49,1.93,+54.21%,366,746
2025-06-16,3.54,3.56,2.8,3.56,-0.31,-8.01%,134,429
2025-06-13,3.37,4.32,3.31,3.87,1.87,+93.50%,183,326
2025-06-12,1.97,2,1.97,2,0.05,+2.56%,22,408
2025-06-11,1.29,1.95,1.29,1.95,0.95,+95.00%,80,408
2025-06-10,1.06,1.06,1,1,-0.03,-2.91%,3,353
2025-06-09,1.03,1.03,1.03,1.03,0.08,+8.42%,0,353
2025-06-06,0.95,0.95,0.95,0.95,0.09,+10.47%,1,353
2025-06-05,0.86,0.86,0.86,0.86,0.04,+4.88%,21,353
2025-06-04,0.95,0.95,0.8,0.82,-0.12,-12.77%,21,353
2025-06-03,0.93,0.94,0.93,0.94,0.09,+10.59%,1,354
2025-06-02,0.8,1,0.8,0.85,0.13,+18.06%,7,354
2025-05-30,0.72,0.72,0.72,0.72,-0.06,-7.69%,0,355
2025-05-29,1.06,1.06,0.78,0.78,-0.15,-16.13%,1,355
2025-05-28,0.93,0.93,0.93,0.93,0.01,+1.09%,0,356
2025-05-27,0.89,0.92,0.89,0.92,-0.15,-14.02%,96,356
2025-05-23,1.07,1.07,1.07,1.07,0.05,+4.90%,0,260
2025-05-22,0.98,1.02,0.98,1.02,0.08,+8.51%,1,260
2025-05-21,1.02,1.07,0.93,0.94,0.07,+8.05%,36,259
2025-05-20,0.87,0.87,0.87,0.87,-0.02,-2.25%,1,258
2025-05-19,0.82,0.89,0.82,0.89,-0.02,-2.20%,2,257
2025-05-16,0.91,0.91,0.91,0.91,0.1,+12.35%,0,255
2025-05-15,0.81,0.81,0.81,0.81,-0.2,-19.80%,0,255
2025-05-14,1.01,1.01,1.01,1.01,-0.11,-9.82%,0,255
2025-05-13,1.11,1.12,1.11,1.12,0.23,+25.84%,0,255
2025-05-12,0.89,0.89,0.89,0.89,-0.01,-1.11%,0,255
2025-05-09,0.9,0.9,0.9,0.9,0.05,+5.88%,0,255
2025-05-08,0.85,0.85,0.85,0.85,0.14,+19.72%,0,255
2025-05-07,0.71,0.71,0.71,0.71,-0.14,-16.47%,0,255
2025-05-06,0.85,0.85,0.85,0.85,0.13,+18.06%,0,255
2025-05-05,0.72,0.72,0.72,0.72,-0.18,-20.00%,0,255
2025-05-02,0.9,0.9,0.9,0.9,-0.08,-8.16%,250,255
2025-05-01,0.98,0.98,0.98,0.98,0.08,+8.89%,0,132
2025-04-30,0.9,0.9,0.9,0.9,-0.17,-15.89%,0,132
2025-04-29,1.07,1.07,1.07,1.07,-0.19,-15.08%,0,132
2025-04-28,1.26,1.26,1.26,1.26,-0.13,-9.35%,0,132
2025-04-25,1.39,1.39,1.39,1.39,-0.06,-4.14%,0,132
2025-04-24,1.45,1.45,1.45,1.45,0.1,+7.41%,0,132
2025-04-23,1.35,1.35,1.35,1.35,-0.23,-14.56%,0,132
2025-04-22,1.58,1.58,1.58,1.58,0.22,+16.18%,0,132
2025-04-21,1.36,1.36,1.36,1.36,-0.39,-22.29%,0,132
