Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.13,0.15,0.12,0.15,0.04,+36.36%,742,0
2025-08-22,0.12,0.13,0.11,0.11,-0.02,-15.38%,233,11412
2025-08-21,0.12,0.13,0.11,0.13,0.02,+18.18%,1414,11611
2025-08-20,0.11,0.12,0.11,0.11,0.01,+10.00%,256,11268
2025-08-19,0.11,0.12,0.1,0.1,-0.02,-16.67%,4022,11504
2025-08-18,0.16,0.16,0.12,0.12,-0.05,-29.41%,223,11690
2025-08-15,0.2,0.22,0.17,0.17,-0.05,-22.73%,1459,11724
2025-08-14,0.16,0.23,0.16,0.22,0.08,+57.14%,312,11296
2025-08-13,0.16,0.16,0.12,0.14,-0.01,-6.67%,465,11145
2025-08-12,0.22,0.23,0.15,0.15,-0.05,-25.00%,78,11114
2025-08-11,0.21,0.25,0.2,0.2,-0.04,-16.67%,77,11173
2025-08-08,0.28,0.28,0.24,0.24,-0.05,-17.24%,832,11171
2025-08-07,0.37,0.42,0.29,0.29,-0.09,-23.68%,2050,10904
2025-08-06,0.57,0.62,0.35,0.38,-0.12,-24.00%,1150,9849
2025-08-05,0.71,0.71,0.5,0.5,-0.24,-32.43%,191,9327
2025-08-04,0.88,0.9,0.7,0.74,-0.29,-28.16%,3421,9231
2025-08-01,1.37,1.37,0.97,1.03,-0.28,-21.37%,1240,9737
2025-07-31,1.41,1.41,1.2,1.31,-0.23,-14.94%,2142,9605
2025-07-30,1.38,1.67,1.2,1.54,0.17,+12.41%,2745,9375
2025-07-29,0.8,1.46,0.8,1.37,0.57,+71.25%,1796,8308
2025-07-28,0.6,0.83,0.6,0.8,0.25,+45.45%,467,9095
2025-07-25,0.65,0.67,0.55,0.55,-0.05,-8.33%,134,9152
2025-07-24,0.6,0.62,0.54,0.6,0.1,+20.00%,1264,9207
2025-07-23,0.51,0.51,0.49,0.5,-0.01,-1.96%,542,9336
2025-07-22,0.52,0.55,0.5,0.51,-0.06,-10.53%,3477,9509
2025-07-21,0.55,0.58,0.55,0.57,-0.1,-14.93%,339,8130
2025-07-18,0.75,0.81,0.65,0.67,-0.04,-5.63%,104,7996
2025-07-17,0.71,0.71,0.7,0.71,0.03,+4.41%,743,8003
2025-07-16,0.63,0.7,0.6,0.68,-0.05,-6.85%,1054,7500
2025-07-15,0.73,0.73,0.73,0.73,-0.14,-16.09%,1415,6812
2025-07-14,1.2,1.37,0.87,0.87,-0.38,-30.40%,69,6337
2025-07-11,1.18,1.27,1.18,1.25,0.43,+52.44%,851,6381
2025-07-10,0.81,0.82,0.81,0.82,-0.23,-21.90%,258,6036
2025-07-09,1.14,1.14,1.05,1.05,-0.1,-8.70%,1466,5977
2025-07-08,1.06,1.15,1.06,1.15,0.05,+4.55%,130,5764
2025-07-07,0.88,1.1,0.85,1.1,0.07,+6.80%,132,5735
2025-07-03,1.01,1.03,1,1.03,-0.31,-23.13%,104,5860
2025-07-02,0.85,1.34,0.8,1.34,0.55,+69.62%,2074,5953
2025-07-01,0.79,0.79,0.79,0.79,-0.02,-2.47%,257,5643
2025-06-30,0.81,0.81,0.81,0.81,-0.1,-10.99%,0,5783
2025-06-27,0.91,0.91,0.91,0.91,-0.03,-3.19%,141,5783
2025-06-26,0.95,0.96,0.94,0.94,0.02,+2.17%,76,5722
2025-06-25,1.04,1.04,0.92,0.92,-0.06,-6.12%,2362,5704
2025-06-24,1.3,1.59,0.98,0.98,-1.14,-53.77%,1233,4851
2025-06-23,5.09,5.09,1.79,2.12,-2.65,-55.56%,1152,4384
2025-06-20,4.58,4.77,4.4,4.77,-0.01,-0.21%,409,4246
2025-06-18,4.12,4.78,4.12,4.78,-0.07,-1.44%,122,4290
2025-06-17,3.64,4.85,3.64,4.85,1.8,+59.02%,54,4306
2025-06-16,3.11,3.11,2.3,3.05,-0.29,-8.68%,426,4351
2025-06-13,3.98,4.17,2.77,3.34,1.66,+98.81%,1441,4388
2025-06-12,1.45,1.68,1.4,1.68,0.03,+1.82%,13,4159
2025-06-11,0.95,1.65,0.95,1.65,0.84,+103.70%,588,4160
2025-06-10,0.86,0.86,0.81,0.81,-0.01,-1.22%,170,4101
2025-06-09,0.82,0.82,0.82,0.82,0.07,+9.33%,1,4073
