Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.17,0.17,0.17,0.17,-0.01,-5.56%,6,0
2025-08-22,0.19,0.19,0.18,0.18,-0.01,-5.26%,212,3417
2025-08-21,0.17,0.2,0.17,0.19,0.03,+18.75%,6,3472
2025-08-20,0.16,0.16,0.16,0.16,0.01,+6.67%,149,3473
2025-08-19,0.16,0.17,0.15,0.15,-0.04,-21.05%,12,3479
2025-08-18,0.21,0.23,0.18,0.19,-0.06,-24.00%,22,3480
2025-08-15,0.31,0.31,0.25,0.25,-0.08,-24.24%,22,3481
2025-08-14,0.25,0.33,0.25,0.33,0.12,+57.14%,6,3461
2025-08-13,0.18,0.21,0.18,0.21,-0.03,-12.50%,17,3462
2025-08-12,0.28,0.28,0.24,0.24,-0.08,-25.00%,13,3452
2025-08-11,0.39,0.39,0.32,0.32,-0.06,-15.79%,475,3453
2025-08-08,0.44,0.44,0.35,0.38,-0.05,-11.63%,316,3213
2025-08-07,0.44,0.44,0.43,0.43,-0.13,-23.21%,119,3060
2025-08-06,0.77,0.95,0.53,0.56,-0.17,-23.29%,643,3062
2025-08-05,0.97,0.97,0.73,0.73,-0.32,-30.48%,43,2943
2025-08-04,1.24,1.24,1.05,1.05,-0.38,-26.57%,261,2938
2025-08-01,1.93,1.93,1.34,1.43,-0.43,-23.12%,43,2885
2025-07-31,2.02,2.02,1.68,1.86,-0.28,-13.08%,50,2859
2025-07-30,1.94,2.14,1.94,2.14,0.25,+13.23%,182,2881
2025-07-29,1.25,1.94,1.25,1.89,0.78,+70.27%,25,2823
2025-07-28,0.94,1.11,0.94,1.11,0.36,+48.00%,110,2822
2025-07-25,0.95,0.97,0.75,0.75,-0.12,-13.79%,1401,2909
2025-07-24,0.87,0.87,0.87,0.87,0.13,+17.57%,0,2058
2025-07-23,0.74,0.74,0.74,0.74,0,0.00%,2,2058
2025-07-22,0.74,0.74,0.74,0.74,-0.11,-12.94%,91,2058
2025-07-21,0.86,0.86,0.85,0.85,-0.1,-10.53%,16,2041
2025-07-18,1.08,1.15,0.95,0.95,-0.08,-7.77%,36,2030
2025-07-17,1.04,1.06,1.03,1.03,0.08,+8.42%,49,2047
2025-07-16,1,1,0.95,0.95,-0.07,-6.86%,3,2017
2025-07-15,1.06,1.06,1.02,1.02,-0.18,-15.00%,6,2017
2025-07-14,1.27,1.3,1.2,1.2,-0.45,-27.27%,6,2017
2025-07-11,1.36,1.74,1.36,1.65,0.52,+46.02%,34,2019
2025-07-10,1.13,1.13,1.13,1.13,-0.31,-21.53%,0,2019
2025-07-09,1.5,1.5,1.42,1.44,-0.12,-7.69%,6,2019
2025-07-08,1.43,1.56,1.43,1.56,0.07,+4.70%,12,2020
2025-07-07,1.17,1.49,1.17,1.49,0.1,+7.19%,4,2019
2025-07-03,1.34,1.44,1.34,1.39,-0.33,-19.19%,42,2019
2025-07-02,1.16,1.72,1.16,1.72,0.64,+59.26%,55,2019
2025-07-01,1.14,1.14,1.08,1.08,0,0.00%,20,1984
2025-06-30,1.05,1.08,1.05,1.08,-0.14,-11.48%,5,1985
2025-06-27,1.25,1.25,1.16,1.22,-0.02,-1.61%,50,1983
2025-06-26,1.25,1.25,1.22,1.24,0.05,+4.20%,76,1959
2025-06-25,1.27,1.27,1.19,1.19,-0.07,-5.56%,150,1934
2025-06-24,2.15,2.15,1.26,1.26,-1.46,-53.68%,5,1915
2025-06-23,3.22,3.22,2.35,2.72,-2.89,-51.52%,70,1915
2025-06-20,5.21,5.61,5.21,5.61,0.02,+0.36%,7,1919
2025-06-18,5.73,5.73,4.96,5.59,-0.07,-1.24%,4,1915
2025-06-17,3.92,5.66,3.92,5.66,1.95,+52.56%,31,1915
2025-06-16,4.07,4.07,2.98,3.71,-0.3,-7.48%,22,1914
2025-06-13,4.93,4.93,3.6,4.01,1.92,+91.87%,39,1912
2025-06-12,2.08,2.25,2.08,2.09,0.05,+2.45%,15,1890
2025-06-11,1.2,2.04,1.2,2.04,0.98,+92.45%,65,1890
2025-06-10,1.2,1.2,1.06,1.06,-0.04,-3.64%,35,1902
2025-06-09,1.1,1.1,1.1,1.1,0.08,+7.84%,0,1890
2025-06-06,1,1.02,1,1.02,0.1,+10.87%,1,1890
2025-06-05,0.91,0.92,0.91,0.92,0.05,+5.75%,3,1890
2025-06-04,0.87,0.87,0.87,0.87,-0.13,-13.00%,0,1890
2025-06-03,0.92,1.02,0.92,1,0.1,+11.11%,2,1890
2025-06-02,0.83,0.9,0.83,0.9,0.14,+18.42%,2,1890
2025-05-30,0.76,0.76,0.76,0.76,-0.06,-7.32%,0,1890
2025-05-29,0.82,0.82,0.82,0.82,-0.16,-16.33%,0,1890
2025-05-28,1.05,1.05,0.98,0.98,0.01,+1.03%,1,1890
2025-05-27,0.97,0.97,0.97,0.97,-0.16,-14.16%,125,1891
2025-05-23,1.13,1.13,1.13,1.13,0.06,+5.61%,0,1891
2025-05-22,1.07,1.07,1.07,1.07,0.08,+8.08%,0,1891
2025-05-21,0.97,0.99,0.97,0.99,0.06,+6.45%,1,1891
2025-05-20,0.93,0.93,0.93,0.93,-0.01,-1.06%,0,1890
2025-05-19,0.94,0.94,0.94,0.94,-0.03,-3.09%,0,1890
2025-05-16,0.97,0.97,0.97,0.97,0.11,+12.79%,0,1890
2025-05-15,0.86,0.86,0.86,0.86,-0.21,-19.63%,0,1890
2025-05-14,1.07,1.07,1.07,1.07,-0.12,-10.08%,0,1890
2025-05-13,1.18,1.19,1.18,1.19,0.24,+25.26%,0,1890
2025-05-12,0.95,0.95,0.95,0.95,0,0.00%,0,1890
