Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.88,1.27,0.84,1.22,0.36,+41.86%,531,0
2025-08-22,0.89,0.94,0.83,0.86,-0.04,-4.44%,210,2338
2025-08-21,0.82,0.93,0.69,0.9,0.17,+23.29%,271,2335
2025-08-20,0.63,0.82,0.63,0.73,0.11,+17.74%,123,2433
2025-08-19,0.75,0.75,0.61,0.62,-0.2,-24.39%,265,2445
2025-08-18,0.78,0.87,0.63,0.82,-0.06,-6.82%,1096,2314
2025-08-15,1.19,1.22,0.88,0.88,-0.28,-24.14%,1084,1595
2025-08-14,0.93,1.16,0.93,1.16,0.35,+43.21%,166,907
2025-08-13,0.93,0.93,0.7,0.81,-0.15,-15.63%,215,898
2025-08-12,1.31,1.31,0.96,0.96,-0.26,-21.31%,324,773
2025-08-11,1.18,1.26,1.18,1.22,-0.09,-6.87%,29,461
2025-08-08,1.38,1.55,1.31,1.31,-0.11,-7.75%,13,456
2025-08-07,1.72,1.72,1.42,1.42,-0.24,-14.46%,4,448
2025-08-06,2.48,2.48,1.55,1.66,-0.36,-17.82%,61,448
2025-08-05,2.33,2.33,2.02,2.02,-0.63,-23.77%,27,464
2025-08-04,2.43,2.72,2.42,2.65,-0.64,-19.45%,19,448
2025-08-01,3.62,3.62,3.29,3.29,-0.99,-23.13%,33,460
2025-07-31,4.28,4.28,4.28,4.28,-0.47,-9.89%,0,456
2025-07-30,4.75,4.75,4.75,4.75,0.48,+11.24%,10,456
2025-07-29,2.9,4.27,2.9,4.27,1.44,+50.88%,31,456
2025-07-28,2.56,2.95,2.56,2.83,0.8,+39.41%,6,440
2025-07-25,2.37,2.37,2.03,2.03,-0.36,-15.06%,22,437
2025-07-24,2.44,2.44,2.39,2.39,0.28,+13.27%,25,427
2025-07-23,2.01,2.11,2.01,2.11,-0.04,-1.86%,17,405
2025-07-22,2.15,2.15,2.15,2.15,-0.24,-10.04%,1,399
2025-07-21,2.39,2.39,2.39,2.39,-0.12,-4.78%,4,398
2025-07-18,2.62,2.62,2.51,2.51,-0.15,-5.64%,35,398
2025-07-17,2.66,2.66,2.66,2.66,0.29,+12.24%,1,379
2025-07-16,2.25,2.37,2.25,2.37,-0.1,-4.05%,53,379
2025-07-15,2.63,2.63,2.47,2.47,-0.31,-11.15%,56,343
2025-07-14,2.85,2.85,2.78,2.78,-0.71,-20.34%,19,328
2025-07-11,3.15,3.49,3.15,3.49,0.88,+33.72%,27,328
2025-07-10,2.61,2.61,2.61,2.61,-0.64,-19.69%,57,333
2025-07-09,3.6,3.6,3.17,3.25,-0.11,-3.27%,23,319
2025-07-08,3.36,3.36,3.36,3.36,0.15,+4.67%,0,326
2025-07-07,2.43,3.21,2.43,3.21,0.23,+7.72%,6,326
2025-07-03,2.81,2.98,2.81,2.98,-0.37,-11.04%,6,324
2025-07-02,2.78,3.35,2.78,3.35,0.91,+37.30%,5,326
2025-07-01,2.39,2.5,2.38,2.44,0.06,+2.52%,5,325
2025-06-30,2.47,2.47,2.31,2.38,-0.2,-7.75%,47,327
2025-06-27,2.67,2.67,2.58,2.58,0.01,+0.39%,101,326
2025-06-26,2.42,2.87,2.42,2.57,0.13,+5.33%,109,320
2025-06-25,2.88,2.88,2.44,2.44,-0.09,-3.56%,52,220
2025-06-24,3.69,3.69,2.53,2.53,-2.27,-47.29%,20,196
2025-06-23,7.58,7.58,4.8,4.8,-3.43,-41.68%,154,196
2025-06-20,8.23,8.23,8.23,8.23,0.01,+0.12%,0,129
2025-06-18,8.22,8.22,8.22,8.22,-0.02,-0.24%,0,129
2025-06-17,8.24,8.24,8.24,8.24,2.27,+38.02%,0,129
2025-06-16,5.92,5.97,5.77,5.97,-0.42,-6.57%,5,130
2025-06-13,6.39,6.39,6.39,6.39,2.61,+69.05%,0,129
2025-06-12,3.83,3.87,3.78,3.78,0.04,+1.07%,5,129
2025-06-11,2.48,3.74,2.48,3.74,1.44,+62.61%,7,127
2025-06-10,2.51,2.51,2.3,2.3,-0.11,-4.56%,1,127
2025-06-09,2.4,2.41,2.4,2.41,0.14,+6.17%,4,127
2025-06-06,2.09,2.27,2.09,2.27,0.25,+12.38%,27,128
2025-06-05,1.95,2.04,1.95,2.02,0.12,+6.32%,77,101
2025-06-04,2.19,2.19,1.9,1.9,-0.25,-11.63%,5,38
2025-06-03,2.15,2.15,2.15,2.15,0.27,+14.36%,0,40
2025-06-02,1.88,1.88,1.88,1.88,0.31,+19.75%,1,40
2025-05-30,1.57,1.57,1.57,1.57,-0.12,-7.10%,0,41
2025-05-29,1.68,1.69,1.68,1.69,-0.31,-15.50%,4,41
2025-05-28,2,2,2,2,0.08,+4.17%,0,37
2025-05-27,1.92,1.92,1.92,1.92,-0.29,-13.12%,0,37
2025-05-23,2.21,2.21,2.21,2.21,0.11,+5.24%,0,37
2025-05-22,1.93,2.1,1.93,2.1,0.05,+2.44%,2,37
2025-05-21,2.04,2.05,2.04,2.05,0.02,+0.99%,15,35
