Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,1.77,2.45,1.72,2.42,0.68,+39.08%,598,0
2025-08-22,1.75,1.89,1.66,1.74,-0.03,-1.69%,736,4493
2025-08-21,1.62,1.84,1.37,1.77,0.29,+19.59%,417,4442
2025-08-20,1.26,1.63,1.23,1.48,0.27,+22.31%,2283,4599
2025-08-19,1.47,1.47,1.18,1.21,-0.37,-23.42%,3167,4828
2025-08-18,1.44,1.75,1.2,1.58,0.01,+0.64%,981,3385
2025-08-15,2.03,2.03,1.57,1.57,-0.44,-21.89%,374,3162
2025-08-14,1.66,2.08,1.53,2.01,0.52,+34.90%,251,3365
2025-08-13,1.73,1.75,1.3,1.49,-0.24,-13.87%,1580,3319
2025-08-12,2.18,2.22,1.69,1.73,-0.38,-18.01%,806,2739
2025-08-11,2.05,2.34,1.9,2.11,-0.09,-4.09%,813,2407
2025-08-08,2.31,2.53,1.98,2.2,-0.13,-5.58%,527,1994
2025-08-07,2.7,2.86,2.3,2.33,-0.29,-11.07%,1240,1682
2025-08-06,3.66,3.84,2.46,2.62,-0.46,-14.94%,147,1091
2025-08-05,3.32,3.32,3.08,3.08,-0.77,-20.00%,55,1007
2025-08-04,3.85,3.85,3.85,3.85,-0.73,-15.94%,0,1007
2025-08-01,4.58,4.58,4.58,4.58,-1.27,-21.71%,105,1007
2025-07-31,5.85,5.85,5.85,5.85,-0.52,-8.16%,36,953
2025-07-30,6.37,6.37,6.37,6.37,0.54,+9.26%,36,953
2025-07-29,4.56,6.2,4.49,5.83,1.7,+41.16%,14,919
2025-07-28,3.46,4.13,3.46,4.13,1.02,+32.80%,20,921
2025-07-25,3.26,3.26,3.11,3.11,-0.49,-13.61%,10,933
2025-07-24,3.72,3.75,3.6,3.6,0.36,+11.11%,28,923
2025-07-23,3.08,3.24,3.08,3.24,-0.05,-1.52%,202,924
2025-07-22,3.16,3.38,3.16,3.29,-0.3,-8.36%,175,913
2025-07-21,3.55,3.59,3.38,3.59,-0.13,-3.49%,76,866
2025-07-18,3.76,3.76,3.72,3.72,-0.14,-3.63%,32,870
2025-07-17,3.39,3.92,3.39,3.86,0.42,+12.21%,119,861
2025-07-16,3.25,3.44,3.25,3.44,-0.13,-3.64%,151,855
2025-07-15,3.57,3.57,3.57,3.57,-0.35,-8.93%,2,847
2025-07-14,5,5.24,3.92,3.92,-0.81,-17.12%,19,847
2025-07-11,4.73,4.73,4.73,4.73,1.04,+28.18%,68,831
2025-07-10,4.33,4.33,3.69,3.69,-0.8,-17.82%,5,775
2025-07-09,4.32,4.49,4.28,4.49,-0.12,-2.60%,49,775
2025-07-08,4.48,4.92,4.48,4.61,0.23,+5.25%,117,788
2025-07-07,4.38,4.38,4.38,4.38,0.32,+7.88%,123,728
2025-07-03,3.98,4.06,3.98,4.06,-0.37,-8.35%,63,644
2025-07-02,4.43,4.43,4.43,4.43,1.04,+30.68%,15,633
2025-07-01,3.21,3.39,3.21,3.39,0.1,+3.04%,4,637
2025-06-30,3.15,3.29,3.15,3.29,-0.24,-6.80%,27,635
2025-06-27,3.51,3.57,3.51,3.53,0.05,+1.44%,40,631
2025-06-26,3.43,3.48,3.43,3.48,0.16,+4.82%,347,631
2025-06-25,3.61,3.61,3.32,3.32,-0.08,-2.35%,19,386
2025-06-24,4.49,4.49,3.4,3.4,-2.61,-43.43%,150,388
2025-06-23,11.03,11.03,6.01,6.01,-3.61,-37.53%,10,300
2025-06-20,9.74,10.88,9.62,9.62,0.01,+0.10%,10,300
2025-06-18,10.18,10.2,9.11,9.61,-0.02,-0.21%,18,299
2025-06-17,9.53,9.63,9.53,9.63,2.38,+32.83%,1,299
2025-06-16,7.6,7.6,7.25,7.25,-0.52,-6.69%,1,299
2025-06-13,6.05,7.77,6.05,7.77,2.91,+59.88%,1,299
2025-06-12,4.37,4.93,4.35,4.86,0.01,+0.21%,6,298
2025-06-11,3.43,4.85,3.43,4.85,1.64,+51.09%,5,301
2025-06-10,3.43,3.49,3.21,3.21,-0.14,-4.18%,5,301
2025-06-09,3.28,3.35,3.22,3.35,0.18,+5.68%,6,305
2025-06-06,3.2,3.2,3.17,3.17,0.34,+12.01%,1,305
2025-06-05,2.72,2.95,2.72,2.83,0.17,+6.39%,17,305
2025-06-04,2.87,2.87,2.62,2.66,-0.32,-10.74%,9,316
2025-06-03,3.02,3.02,2.98,2.98,0.37,+14.18%,107,313
2025-06-02,2.61,2.61,2.61,2.61,0.44,+20.28%,104,251
2025-05-30,2.17,2.17,2.17,2.17,-0.17,-7.26%,22,259
2025-05-29,2.81,2.81,2.34,2.34,-0.4,-14.60%,45,277
2025-05-28,2.74,2.74,2.74,2.74,0.14,+5.38%,0,288
2025-05-27,2.46,2.6,2.46,2.6,-0.36,-12.16%,3,288
2025-05-23,2.96,2.96,2.96,2.96,0.13,+4.59%,0,291
2025-05-22,2.56,2.83,2.56,2.83,0.02,+0.71%,39,291
2025-05-21,2.98,2.98,2.8,2.81,-0.03,-1.06%,2,276
2025-05-20,2.84,2.84,2.84,2.84,-0.03,-1.05%,0,278
2025-05-19,2.87,2.87,2.87,2.87,-0.06,-2.05%,0,278
2025-05-16,2.69,2.93,2.69,2.93,0.26,+9.74%,1,278
2025-05-15,2.59,2.67,2.59,2.67,-0.55,-17.08%,1,277
2025-05-14,3.37,3.37,3.22,3.22,-0.3,-8.52%,1,278
2025-05-13,3.51,3.52,3.51,3.52,0.61,+20.96%,0,279
2025-05-12,3.35,3.35,2.91,2.91,0.18,+6.59%,9,279
2025-05-09,2.73,2.73,2.73,2.73,0.23,+9.20%,0,286
2025-05-08,2.5,2.5,2.5,2.5,0.45,+21.95%,1,286
2025-05-07,2.05,2.05,2.05,2.05,-0.37,-15.29%,0,285
2025-05-06,2.42,2.42,2.42,2.42,0.45,+22.84%,0,285
2025-05-05,1.92,1.97,1.91,1.97,-0.49,-19.92%,25,285
2025-05-02,2.46,2.46,2.46,2.46,-0.27,-9.89%,0,274
2025-05-01,2.66,2.73,2.66,2.73,0.24,+9.64%,5,274
2025-04-30,2.49,2.49,2.49,2.49,-0.49,-16.44%,233,269
2025-04-29,3.16,3.16,2.97,2.98,-0.46,-13.37%,2,37
2025-04-28,3.44,3.44,3.44,3.44,-0.34,-8.99%,0,37
2025-04-25,3.78,3.78,3.78,3.78,-0.03,-0.79%,0,37
2025-04-24,3.81,3.81,3.81,3.81,0.21,+5.83%,0,37
2025-04-23,3.73,3.73,3.6,3.6,-0.47,-11.55%,1,37
2025-04-22,3.85,4.07,3.85,4.07,0.53,+14.97%,1,36
2025-04-21,3.54,3.54,3.54,3.54,-0.8,-18.43%,0,35
2025-04-17,4.34,4.34,4.34,4.34,0.97,+28.78%,0,35
2025-04-16,3.37,3.37,3.37,3.37,0.4,+13.47%,0,35
2025-04-15,2.97,2.97,2.97,2.97,-0.35,-10.54%,0,35
2025-04-14,3.32,3.32,3.32,3.32,-0.14,-4.05%,0,35
2025-04-11,3.46,3.46,3.46,3.46,0.45,+14.95%,0,35
2025-04-10,3.01,3.01,3.01,3.01,-0.42,-12.24%,27,35
2025-04-09,3.43,3.43,3.43,3.43,0.47,+15.88%,0,29
2025-04-08,2.96,2.96,2.96,2.96,-0.41,-12.17%,0,29
2025-04-07,3.97,3.97,3.37,3.37,-0.3,-8.17%,2,29
2025-04-04,3.67,3.67,3.67,3.67,-1.61,-30.49%,0,29
2025-04-03,5.28,5.28,5.28,5.28,-2.48,-31.96%,0,29
2025-04-02,7.76,7.76,7.76,7.76,0.22,+2.92%,0,29
2025-04-01,7.54,7.54,7.54,7.54,-0.05,-0.66%,0,29
2025-03-31,7.59,7.59,7.59,7.59,1.14,+17.67%,0,29
2025-03-28,6.37,6.45,6.37,6.45,-0.51,-7.33%,1,29
2025-03-27,6.96,6.96,6.96,6.96,0.15,+2.20%,0,30
2025-03-26,6.94,6.94,6.81,6.81,0.34,+5.26%,2,30
2025-03-25,6.47,6.47,6.47,6.47,-0.06,-0.92%,0,32
2025-03-24,6.53,6.53,6.53,6.53,0.36,+5.83%,0,32
2025-03-21,6.17,6.17,6.17,6.17,-0.03,-0.48%,0,32
2025-03-20,6.11,6.2,6.11,6.2,0.51,+8.96%,1,32
2025-03-19,5.69,5.69,5.69,5.69,0.05,+0.89%,0,31
2025-03-18,5.64,5.64,5.64,5.64,-0.21,-3.59%,0,31
2025-03-17,5.85,5.85,5.85,5.85,0.3,+5.41%,0,31
