Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.1,0.11,0.1,0.11,0.01,+10.00%,3,0
2025-08-22,0.1,0.1,0.1,0.1,-0.01,-9.09%,89,2817
2025-08-21,0.11,0.11,0.11,0.11,0.02,+22.22%,213,2731
2025-08-20,0.09,0.1,0.09,0.09,0,0.00%,114,2719
2025-08-19,0.1,0.1,0.09,0.09,-0.02,-18.18%,3,2720
2025-08-18,0.13,0.13,0.11,0.11,-0.04,-26.67%,167,2721
2025-08-15,0.19,0.19,0.15,0.15,-0.04,-21.05%,8,2713
2025-08-14,0.18,0.19,0.17,0.19,0.07,+58.33%,437,2713
2025-08-13,0.12,0.12,0.11,0.12,-0.01,-7.69%,93,2479
2025-08-12,0.16,0.16,0.12,0.13,-0.04,-23.53%,62,2557
2025-08-11,0.18,0.18,0.17,0.17,-0.04,-19.05%,39,2553
2025-08-08,0.24,0.25,0.21,0.21,-0.04,-16.00%,30,2557
2025-08-07,0.36,0.36,0.25,0.25,-0.08,-24.24%,28,2557
2025-08-06,0.52,0.61,0.33,0.33,-0.11,-25.00%,165,2560
2025-08-05,0.61,0.61,0.44,0.44,-0.2,-31.25%,111,2504
2025-08-04,0.77,0.77,0.63,0.64,-0.27,-29.67%,118,2431
2025-08-01,1.2,1.2,0.88,0.91,-0.23,-20.18%,59,2465
2025-07-31,1.09,1.14,1.09,1.14,-0.21,-15.56%,227,2460
2025-07-30,1.35,1.41,1.35,1.35,0.14,+11.57%,146,2347
2025-07-29,0.79,1.23,0.79,1.21,0.51,+72.86%,340,2318
2025-07-28,0.7,0.7,0.7,0.7,0.21,+42.86%,66,2148
2025-07-25,0.55,0.59,0.49,0.49,-0.04,-7.55%,70,2156
2025-07-24,0.47,0.53,0.47,0.53,0.09,+20.45%,33,2147
2025-07-23,0.45,0.45,0.44,0.44,0,0.00%,16,2132
2025-07-22,0.44,0.44,0.44,0.44,-0.06,-12.00%,7,2132
2025-07-21,0.54,0.54,0.49,0.5,-0.09,-15.25%,153,2128
2025-07-18,0.73,0.73,0.59,0.59,-0.03,-4.84%,1090,2125
2025-07-17,0.59,0.62,0.59,0.62,0.02,+3.33%,332,1247
2025-07-16,0.57,0.6,0.55,0.6,-0.05,-7.69%,1097,1359
2025-07-15,0.65,0.65,0.65,0.65,-0.13,-16.67%,29,603
2025-07-14,1.18,1.18,0.77,0.78,-0.34,-30.36%,44,631
2025-07-11,1.1,1.12,1.1,1.12,0.39,+53.42%,254,589
2025-07-10,0.89,0.89,0.73,0.73,-0.2,-21.51%,21,347
2025-07-09,0.93,0.93,0.93,0.93,-0.1,-9.71%,0,347
2025-07-08,0.96,1.03,0.96,1.03,0.05,+5.10%,17,347
2025-07-07,0.98,0.98,0.98,0.98,0.06,+6.52%,0,331
2025-07-03,0.92,0.92,0.92,0.92,-0.31,-25.20%,0,331
2025-07-02,0.8,1.23,0.8,1.23,0.52,+73.24%,14,331
2025-07-01,0.71,0.71,0.71,0.71,-0.01,-1.39%,0,318
2025-06-30,0.72,0.72,0.72,0.72,-0.1,-12.20%,0,318
2025-06-27,0.83,0.83,0.82,0.82,-0.02,-2.38%,62,318
2025-06-26,0.84,0.92,0.84,0.84,0.01,+1.20%,27,318
2025-06-25,1.05,1.05,0.83,0.83,-0.06,-6.74%,64,295
2025-06-24,1.08,1.08,0.89,0.89,-1.04,-53.89%,34,280
2025-06-23,1.93,1.93,1.93,1.93,-2.54,-56.82%,2,281
2025-06-20,5.2,5.2,4.12,4.47,-0.01,-0.22%,75,283
2025-06-18,4.12,4.48,4.12,4.48,-0.08,-1.75%,17,284
2025-06-17,3.16,4.56,3.14,4.56,1.73,+61.13%,39,270
2025-06-16,2.8,2.83,2.23,2.83,-0.27,-8.71%,27,251
2025-06-13,3.74,3.74,2.53,3.1,1.55,+100.00%,94,250
2025-06-12,1.66,1.66,1.55,1.55,0.03,+1.97%,4,280
2025-06-11,1.01,1.52,1.01,1.52,0.79,+108.22%,19,281
2025-06-10,0.78,0.78,0.73,0.73,0,0.00%,3,295
2025-06-09,0.73,0.73,0.73,0.73,0.06,+8.96%,3,295
2025-06-06,0.63,0.67,0.63,0.67,0.05,+8.06%,78,295
2025-06-05,0.59,0.62,0.59,0.62,0.03,+5.08%,6,220
2025-06-04,0.59,0.59,0.59,0.59,-0.09,-13.24%,0,215
2025-06-03,0.68,0.68,0.68,0.68,0.06,+9.68%,0,215
2025-06-02,0.62,0.62,0.62,0.62,0.08,+14.81%,0,215
2025-05-30,0.54,0.54,0.54,0.54,-0.04,-6.90%,0,215
2025-05-29,0.58,0.58,0.58,0.58,-0.11,-15.94%,0,215
2025-05-28,0.69,0.69,0.69,0.69,0,0.00%,0,215
2025-05-27,0.69,0.69,0.69,0.69,-0.11,-13.75%,94,215
2025-05-23,0.8,0.8,0.8,0.8,0.03,+3.90%,1,159
2025-05-22,0.67,0.77,0.67,0.77,0.07,+10.00%,4,158
2025-05-21,0.78,0.78,0.7,0.7,0.06,+9.38%,2,154
2025-05-20,0.64,0.64,0.64,0.64,0,0.00%,0,152
2025-05-19,0.64,0.64,0.64,0.64,-0.02,-3.03%,0,152
2025-05-16,0.66,0.66,0.66,0.66,0.08,+13.79%,5,152
2025-05-15,0.58,0.58,0.58,0.58,-0.14,-19.44%,0,157
2025-05-14,0.72,0.72,0.72,0.72,-0.08,-10.00%,0,157
2025-05-13,0.8,0.8,0.8,0.8,0.16,+25.00%,0,157
2025-05-12,0.71,0.73,0.64,0.64,-0.02,-3.03%,21,157
2025-05-09,0.66,0.66,0.66,0.66,0.02,+3.13%,0,136
2025-05-08,0.64,0.64,0.64,0.64,0.1,+18.52%,0,136
2025-05-07,0.54,0.54,0.54,0.54,-0.1,-15.63%,0,136
2025-05-06,0.64,0.64,0.64,0.64,0.09,+16.36%,0,136
2025-05-05,0.55,0.55,0.55,0.55,-0.13,-19.12%,0,136
2025-05-02,0.68,0.68,0.68,0.68,-0.05,-6.85%,2,136
2025-05-01,0.69,0.73,0.69,0.73,0.05,+7.35%,3,134
2025-04-30,0.66,0.68,0.66,0.68,-0.12,-15.00%,50,132
2025-04-29,0.85,0.85,0.8,0.8,-0.14,-14.89%,1,136
2025-04-28,0.94,0.94,0.94,0.94,-0.09,-8.74%,0,136
2025-04-25,1.03,1.03,1.03,1.03,-0.05,-4.63%,0,136
2025-04-24,1.08,1.08,1.08,1.08,0.07,+6.93%,0,136
2025-04-23,1.01,1.01,1.01,1.01,-0.17,-14.41%,0,136
2025-04-22,1.18,1.18,1.18,1.18,0.16,+15.69%,0,136
2025-04-21,1.02,1.02,1.02,1.02,-0.3,-22.73%,0,136
2025-04-17,1.32,1.32,1.32,1.32,0.38,+40.43%,0,136
2025-04-16,0.94,0.94,0.94,0.94,0.19,+25.33%,0,136
2025-04-15,0.75,0.75,0.75,0.75,-0.09,-10.71%,0,136
2025-04-14,0.84,0.84,0.84,0.84,-0.14,-14.29%,0,136
2025-04-11,0.98,0.98,0.98,0.98,0.2,+25.64%,0,136
2025-04-10,0.74,0.78,0.74,0.78,-0.09,-10.34%,10,136
2025-04-09,0.87,0.87,0.87,0.87,0.11,+14.47%,0,131
2025-04-08,0.76,0.76,0.76,0.76,-0.09,-10.59%,0,131
2025-04-07,0.85,0.85,0.85,0.85,-0.16,-15.84%,0,131
2025-04-04,1.01,1.01,1.01,1.01,-0.47,-31.76%,0,131
2025-04-03,1.48,1.48,1.48,1.48,-0.88,-37.29%,0,131
2025-04-02,2.36,2.36,2.36,2.36,0.1,+4.42%,0,131
2025-04-01,2.26,2.26,2.26,2.26,-0.05,-2.16%,0,131
2025-03-31,2.31,2.31,2.31,2.31,0.47,+25.54%,0,131
2025-03-28,1.84,1.84,1.84,1.84,-0.17,-8.46%,0,131
2025-03-27,2.01,2.01,2.01,2.01,0.05,+2.55%,0,131
2025-03-26,1.96,1.96,1.96,1.96,0.14,+7.69%,0,131
2025-03-25,1.82,1.82,1.82,1.82,-0.06,-3.19%,0,131
2025-03-24,1.8,1.88,1.8,1.88,0.13,+7.43%,33,131
2025-03-21,1.7,1.75,1.7,1.75,-0.07,-3.85%,43,105
2025-03-20,1.82,1.82,1.82,1.82,0.14,+8.33%,0,105
2025-03-19,1.68,1.68,1.68,1.68,0.07,+4.35%,0,105
2025-03-18,1.61,1.61,1.61,1.61,-0.05,-3.01%,0,105
2025-03-17,1.69,1.69,1.66,1.66,0.15,+9.93%,5,105
2025-03-14,1.51,1.51,1.51,1.51,0.09,+6.34%,0,100
2025-03-13,1.42,1.42,1.42,1.42,-0.18,-11.25%,0,100
2025-03-12,1.6,1.6,1.6,1.6,0.21,+15.11%,0,100
2025-03-11,1.39,1.39,1.39,1.39,0,0.00%,0,100
2025-03-10,1.39,1.39,1.39,1.39,-0.19,-12.03%,0,100
2025-03-07,1.58,1.58,1.58,1.58,0.14,+9.72%,0,100
2025-03-06,1.44,1.44,1.44,1.44,0.03,+2.13%,0,100
2025-03-05,1.41,1.41,1.41,1.41,-0.32,-18.50%,0,100
2025-03-04,1.73,1.73,1.73,1.73,-0.1,-5.46%,0,100
2025-03-03,1.83,1.83,1.83,1.83,-0.27,-12.86%,0,100
2025-02-28,2.1,2.1,2.1,2.1,-0.14,-6.25%,0,100
2025-02-27,2.24,2.24,2.24,2.24,0.31,+16.06%,0,100
2025-02-26,1.93,1.93,1.93,1.93,-0.14,-6.76%,0,100
2025-02-25,2.4,2.4,2.07,2.07,-0.4,-16.19%,3,100
2025-02-24,2.47,2.47,2.47,2.47,-0.05,-1.98%,0,100
2025-02-21,2.52,2.52,2.52,2.52,-0.49,-16.28%,0,100
2025-02-20,2.93,3.01,2.93,3.01,0.14,+4.88%,21,100
2025-02-19,2.87,2.87,2.87,2.87,0.07,+2.50%,0,100
2025-02-18,2.8,2.8,2.8,2.8,0.13,+4.87%,0,100
2025-02-14,2.67,2.67,2.67,2.67,-0.11,-3.96%,0,100
2025-02-13,2.78,2.78,2.78,2.78,-0.13,-4.47%,0,100
