Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.49,0.71,0.49,0.71,0.23,+47.92%,170,0
2025-08-22,0.5,0.52,0.48,0.48,-0.03,-5.88%,28,1646
2025-08-21,0.45,0.54,0.39,0.51,0.1,+24.39%,248,1630
2025-08-20,0.36,0.45,0.36,0.41,0.05,+13.89%,64,1667
2025-08-19,0.44,0.44,0.35,0.36,-0.12,-25.00%,148,1651
2025-08-18,0.47,0.56,0.39,0.48,-0.08,-14.29%,363,1639
2025-08-15,0.67,0.67,0.56,0.56,-0.18,-24.32%,180,1533
2025-08-14,0.58,0.77,0.57,0.74,0.24,+48.00%,91,1504
2025-08-13,0.61,0.61,0.45,0.5,-0.09,-15.25%,53,1483
2025-08-12,0.79,0.79,0.59,0.59,-0.17,-22.37%,140,1463
2025-08-11,0.72,0.87,0.72,0.76,-0.09,-10.59%,1240,1502
2025-08-08,0.84,0.98,0.84,0.85,-0.1,-10.53%,73,662
2025-08-07,1.05,1.05,0.95,0.95,-0.19,-16.67%,9,600
2025-08-06,1.68,1.68,1.14,1.14,-0.29,-20.28%,21,605
2025-08-05,1.74,1.74,1.43,1.43,-0.51,-26.29%,37,599
2025-08-04,2.29,2.29,1.94,1.94,-0.55,-22.09%,12,633
2025-08-01,3.25,3.25,2.49,2.49,-0.78,-23.85%,82,632
2025-07-31,3.27,3.27,3.27,3.27,-0.41,-11.14%,182,592
2025-07-30,3.78,3.78,3.68,3.68,0.42,+12.88%,246,454
2025-07-29,2.21,3.41,2.21,3.26,1.2,+58.25%,64,385
2025-07-28,2.06,2.06,2.06,2.06,0.63,+44.06%,0,399
2025-07-25,1.82,1.82,1.43,1.43,-0.26,-15.38%,53,399
2025-07-24,1.69,1.69,1.69,1.69,0.21,+14.19%,3,409
2025-07-23,1.5,1.5,1.48,1.48,-0.02,-1.33%,7,408
2025-07-22,1.5,1.5,1.5,1.5,-0.19,-11.24%,2,402
2025-07-21,1.7,1.7,1.69,1.69,-0.11,-6.11%,6,401
2025-07-18,1.96,2.24,1.8,1.8,-0.13,-6.74%,18,401
2025-07-17,1.93,1.93,1.93,1.93,0.19,+10.92%,0,398
2025-07-16,1.74,1.74,1.74,1.74,-0.09,-4.92%,200,398
2025-07-15,1.83,1.83,1.83,1.83,-0.26,-12.44%,0,198
2025-07-14,2.09,2.09,2.09,2.09,-0.63,-23.16%,0,198
2025-07-11,2.72,2.72,2.72,2.72,0.76,+38.78%,0,198
