Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.12,0.12,0.09,0.09,-0.04,-30.77%,29,0
2025-08-22,0.18,0.18,0.13,0.13,-0.03,-18.75%,7,1748
2025-08-21,0.17,0.17,0.16,0.16,-0.06,-27.27%,1207,1753
2025-08-20,0.26,0.26,0.22,0.22,-0.1,-31.25%,52,667
2025-08-19,0.33,0.34,0.29,0.32,0.02,+6.67%,26,684
2025-08-18,0.39,0.4,0.29,0.3,-0.13,-30.23%,113,661
2025-08-15,0.41,0.43,0.39,0.43,0.07,+19.44%,19,632
2025-08-14,0.42,0.44,0.35,0.36,-0.06,-14.29%,7,620
2025-08-13,0.41,0.5,0.41,0.42,0.02,+5.00%,6,616
2025-08-12,0.39,0.4,0.39,0.4,0,0.00%,35,616
2025-08-11,0.51,0.51,0.39,0.4,-0.1,-20.00%,15,582
2025-08-08,0.55,0.55,0.5,0.5,-0.03,-5.66%,80,574
2025-08-07,0.52,0.53,0.52,0.53,-0.02,-3.64%,6,504
2025-08-06,0.45,0.55,0.45,0.55,0.05,+10.00%,21,505
2025-08-05,0.5,0.5,0.5,0.5,0.03,+6.38%,3,486
2025-08-04,0.46,0.47,0.46,0.47,-0.01,-2.08%,3,486
2025-08-01,0.48,0.48,0.45,0.48,0.16,+50.00%,95,485
2025-07-31,0.32,0.32,0.32,0.32,0.07,+28.00%,5,424
2025-07-30,0.3,0.3,0.24,0.25,-0.03,-10.71%,12,424
2025-07-29,0.36,0.36,0.28,0.28,-0.11,-28.21%,6,419
2025-07-28,0.42,0.42,0.39,0.39,-0.11,-22.00%,66,413
2025-07-25,0.5,0.5,0.5,0.5,0.05,+11.11%,5,471
2025-07-24,0.48,0.48,0.45,0.45,-0.06,-11.76%,80,469
2025-07-23,0.51,0.51,0.51,0.51,-0.03,-5.56%,5,424
2025-07-22,0.52,0.55,0.52,0.54,0.06,+12.50%,9,427
2025-07-21,0.51,0.52,0.48,0.48,-0.05,-9.43%,7,426
2025-07-18,0.53,0.53,0.53,0.53,-0.02,-3.64%,49,422
2025-07-17,0.58,0.58,0.55,0.55,-0.13,-19.12%,1,387
2025-07-16,0.68,0.68,0.68,0.68,0.01,+1.49%,0,386
2025-07-15,0.67,0.67,0.67,0.67,-0.01,-1.47%,0,386
2025-07-14,0.57,0.68,0.57,0.68,0.03,+4.62%,125,386
2025-07-11,0.78,0.78,0.63,0.65,-0.13,-16.67%,250,456
2025-07-10,0.78,0.78,0.78,0.78,0.16,+25.81%,4,408
2025-07-09,0.62,0.62,0.62,0.62,-0.02,-3.13%,15,405
2025-07-08,0.64,0.64,0.64,0.64,-0.07,-9.86%,1,405
2025-07-07,0.9,0.9,0.71,0.71,-0.13,-15.48%,22,405
2025-07-03,0.84,0.84,0.84,0.84,-0.01,-1.18%,0,404
2025-07-02,0.93,0.93,0.85,0.85,-0.19,-18.27%,69,404
2025-07-01,1.05,1.05,1.04,1.04,-0.07,-6.31%,1,470
2025-06-30,1.11,1.11,1.11,1.11,-0.08,-6.72%,0,469
2025-06-27,1.15,1.19,1.15,1.19,-0.03,-2.46%,56,469
2025-06-26,1.22,1.22,1.22,1.22,-0.05,-3.94%,0,413
2025-06-25,1.29,1.31,1.27,1.27,-0.17,-11.81%,113,413
2025-06-24,1.29,1.44,1.29,1.44,0.55,+61.80%,5,383
2025-06-23,0.78,0.98,0.78,0.89,0.05,+5.95%,74,381
2025-06-20,0.84,0.84,0.84,0.84,-0.12,-12.50%,0,314
2025-06-18,0.96,0.96,0.96,0.96,-0.11,-10.28%,0,314
2025-06-17,1.01,1.07,0.99,1.07,0.01,+0.94%,33,314
2025-06-16,0.96,1.32,0.96,1.06,0,0.00%,52,313
2025-06-13,0.99,1.08,0.97,1.06,-0.22,-17.19%,69,328
2025-06-12,1.28,1.28,1.28,1.28,0.14,+12.28%,6,348
