Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,2.96,3,2.1,2.15,-0.83,-27.85%,171,0
2025-08-22,3.21,3.26,2.91,2.98,-0.18,-5.70%,16,910
2025-08-21,3.56,3.7,3.16,3.16,-0.6,-15.96%,12,911
2025-08-20,4,4.04,3.76,3.76,-0.77,-17.00%,3,905
2025-08-19,4.53,4.53,4.53,4.53,0.67,+17.36%,0,903
2025-08-18,3.73,3.92,3.73,3.86,-0.76,-16.45%,9,903
2025-08-15,4.57,4.62,4.53,4.62,0.71,+18.16%,127,901
2025-08-14,4.16,4.16,3.91,3.91,-0.69,-15.00%,1,1005
2025-08-13,4.6,4.6,4.6,4.6,0.37,+8.75%,29,1004
2025-08-12,4.23,4.23,4.23,4.23,0.3,+7.63%,1,998
2025-08-11,3.93,3.93,3.93,3.93,-0.18,-4.38%,0,998
2025-08-08,4.11,4.11,4.11,4.11,-0.08,-1.91%,0,998
2025-08-07,4.03,4.19,4.03,4.19,0.11,+2.70%,14,998
2025-08-06,3.18,4.08,3.18,4.08,0.39,+10.57%,99,990
2025-08-05,3.53,3.78,3.5,3.69,0.4,+12.16%,160,929
2025-08-04,3.29,3.31,3.18,3.29,0.22,+7.17%,274,927
2025-08-01,2.38,3.1,2.38,3.07,0.89,+40.83%,159,791
2025-07-31,2.18,2.18,2.18,2.18,0.24,+12.37%,257,672
2025-07-30,2.12,2.12,1.94,1.94,-0.14,-6.73%,20,496
2025-07-29,2.95,2.95,2.05,2.08,-0.82,-28.28%,32,492
2025-07-28,3.01,3.05,2.9,2.9,-0.67,-18.77%,83,501
2025-07-25,3.37,3.57,3.37,3.57,0.37,+11.56%,43,480
2025-07-24,3.17,3.34,3.17,3.2,-0.32,-9.09%,17,455
2025-07-23,3.53,3.79,3.52,3.52,-0.08,-2.22%,50,447
2025-07-22,3.76,3.76,3.6,3.6,0.3,+9.09%,52,447
2025-07-21,3.57,3.57,3.3,3.3,-0.12,-3.51%,11,411
2025-07-18,3.16,3.43,3.14,3.42,-0.02,-0.58%,36,400
2025-07-17,3.44,3.44,3.44,3.44,-0.62,-15.27%,1,371
2025-07-16,4.08,4.08,3.97,4.06,0.07,+1.75%,30,371
2025-07-15,3.99,3.99,3.99,3.99,0.08,+2.05%,5,384
2025-07-14,3.32,3.91,3.32,3.91,0.23,+6.25%,1,384
2025-07-11,3.68,3.68,3.68,3.68,-0.57,-13.41%,129,384
2025-07-10,3.48,4.25,3.48,4.25,0.68,+19.05%,45,292
2025-07-09,3.72,3.72,3.57,3.57,-0.05,-1.38%,79,262
2025-07-08,3.62,3.62,3.62,3.62,-0.32,-8.12%,10,198
2025-07-07,3.88,3.94,3.88,3.94,-0.53,-11.86%,3,188
2025-07-03,4.52,4.52,4.47,4.47,-0.04,-0.89%,1,188
2025-07-02,4.51,4.51,4.51,4.51,-0.69,-13.27%,0,188
