Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.15,0.15,0.09,0.11,-0.04,-26.67%,264,0
2025-08-22,0.19,0.19,0.15,0.15,-0.03,-16.67%,1324,16001
2025-08-21,0.24,0.24,0.18,0.18,-0.06,-25.00%,2444,16000
2025-08-20,0.32,0.32,0.24,0.24,-0.12,-33.33%,2129,16032
2025-08-19,0.35,0.39,0.33,0.36,0.03,+9.09%,2271,15298
2025-08-18,0.45,0.46,0.32,0.33,-0.15,-31.25%,802,14986
2025-08-15,0.41,0.52,0.39,0.48,0.08,+20.00%,2779,15432
2025-08-14,0.47,0.47,0.39,0.4,-0.07,-14.89%,822,15433
2025-08-13,0.5,0.54,0.45,0.47,0.03,+6.82%,1991,15442
2025-08-12,0.41,0.46,0.4,0.44,0,0.00%,1891,15212
2025-08-11,0.58,0.59,0.44,0.44,-0.11,-20.00%,1627,14152
2025-08-08,0.58,0.73,0.52,0.55,-0.04,-6.78%,1691,13630
2025-08-07,0.55,0.61,0.55,0.59,-0.01,-1.67%,1529,13581
2025-08-06,0.5,0.66,0.43,0.6,0.05,+9.09%,1844,13509
2025-08-05,0.47,0.58,0.47,0.55,0.05,+10.00%,783,12782
2025-08-04,0.51,0.61,0.48,0.5,-0.02,-3.85%,2458,12570
2025-08-01,0.34,0.55,0.34,0.52,0.18,+52.94%,586,11403
2025-07-31,0.28,0.36,0.28,0.34,0.07,+25.93%,258,11077
2025-07-30,0.31,0.32,0.25,0.27,-0.03,-10.00%,60,11066
2025-07-29,0.41,0.41,0.29,0.3,-0.13,-30.23%,1321,11085
2025-07-28,0.52,0.52,0.41,0.43,-0.11,-20.37%,181,11360
2025-07-25,0.48,0.55,0.46,0.54,0.05,+10.20%,1361,11338
2025-07-24,0.54,0.54,0.47,0.49,-0.06,-10.91%,367,10313
2025-07-23,0.61,0.62,0.53,0.55,-0.03,-5.17%,3247,10185
2025-07-22,0.59,0.61,0.56,0.58,0.06,+11.54%,1700,11224
2025-07-21,0.54,0.58,0.52,0.52,-0.05,-8.77%,32,10935
2025-07-18,0.54,0.57,0.5,0.57,-0.02,-3.39%,679,10963
2025-07-17,0.72,0.72,0.58,0.59,-0.15,-20.27%,4204,11097
2025-07-16,0.7,0.79,0.7,0.74,0.02,+2.78%,1189,10575
2025-07-15,0.72,0.72,0.72,0.72,-0.01,-1.37%,152,10944
2025-07-14,0.6,0.74,0.6,0.73,0.03,+4.29%,623,10841
2025-07-11,0.81,0.81,0.68,0.7,-0.14,-16.67%,328,10812
2025-07-10,0.67,0.84,0.67,0.84,0.18,+27.27%,301,10844
2025-07-09,0.66,0.66,0.66,0.66,-0.03,-4.35%,155,10709
2025-07-08,0.74,0.74,0.69,0.69,-0.08,-10.39%,426,10574
2025-07-07,1.02,1.02,0.77,0.77,-0.14,-15.38%,83,10574
2025-07-03,0.93,0.93,0.91,0.91,-0.01,-1.09%,1677,10556
2025-07-02,1.08,1.11,0.89,0.92,-0.21,-18.58%,98,11428
2025-07-01,1.2,1.2,1.1,1.13,-0.07,-5.83%,598,11444
2025-06-30,1.22,1.22,1.19,1.2,-0.09,-6.98%,693,11893
2025-06-27,1.23,1.35,1.2,1.29,-0.03,-2.27%,128,11764
2025-06-26,1.24,1.32,1.24,1.32,-0.05,-3.65%,1681,11783
2025-06-25,1.36,1.4,1.25,1.37,-0.18,-11.61%,2648,11982
2025-06-24,1.4,1.55,1.4,1.55,0.58,+59.79%,3733,10208
2025-06-23,0.78,1.09,0.78,0.97,0.07,+7.78%,1531,8807
2025-06-20,0.97,1,0.9,0.9,-0.13,-12.62%,2673,8237
2025-06-18,1.17,1.17,1.03,1.03,-0.11,-9.65%,2215,7672
2025-06-17,1.1,1.14,1.1,1.14,0.01,+0.88%,195,5693
2025-06-16,0.93,1.33,0.93,1.13,-0.01,-0.88%,403,5594
2025-06-13,1.07,1.17,1.04,1.14,-0.23,-16.79%,1514,5603
2025-06-12,1.36,1.41,1.36,1.37,0.15,+12.30%,121,4868
2025-06-11,1.31,1.31,1.22,1.22,-0.36,-22.78%,694,4863
2025-06-10,1.47,1.58,1.47,1.58,0.07,+4.64%,266,5209
2025-06-09,1.5,1.52,1.5,1.51,-0.16,-9.58%,13,5062
2025-06-06,1.75,1.75,1.67,1.67,-0.24,-12.57%,10,5066
2025-06-05,1.93,1.93,1.91,1.91,-0.19,-9.05%,385,5056
2025-06-04,1.98,2.23,1.98,2.1,0.1,+5.00%,189,4855
2025-06-03,2.06,2.06,2,2,-0.3,-13.04%,7,4746
2025-06-02,2.22,2.3,2.14,2.3,-0.68,-22.82%,27,4745
2025-05-30,3.04,3.22,2.98,2.98,0.27,+9.96%,145,4763
2025-05-29,2.75,2.75,2.71,2.71,0.26,+10.61%,521,4775
2025-05-28,2.45,2.45,2.45,2.45,-0.3,-10.91%,250,5037
2025-05-27,2.75,2.75,2.75,2.75,-0.02,-0.72%,187,4787
2025-05-23,2.73,2.77,2.73,2.77,-0.04,-1.42%,519,4785
2025-05-22,2.81,2.81,2.81,2.81,0.24,+9.34%,10,4761
2025-05-21,2.22,2.57,2.22,2.57,0.15,+6.20%,124,4767
2025-05-20,2.51,2.51,2.42,2.42,-0.1,-3.97%,37,4754
2025-05-19,2.52,2.52,2.52,2.52,-0.02,-0.79%,150,4747
2025-05-16,2.5,2.54,2.5,2.54,-0.12,-4.51%,14,4597
2025-05-15,2.79,2.9,2.66,2.66,0.39,+17.18%,463,4593
