Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.27,0.27,0.18,0.18,-0.11,-37.93%,865,0
2025-08-22,0.32,0.35,0.29,0.29,-0.05,-14.71%,97,4630
2025-08-21,0.45,0.45,0.34,0.34,-0.14,-29.17%,239,4599
2025-08-20,0.55,0.6,0.47,0.48,-0.2,-29.41%,148,4485
2025-08-19,0.6,0.7,0.6,0.68,0.11,+19.30%,643,4505
2025-08-18,0.78,0.83,0.56,0.57,-0.29,-33.72%,1382,4333
2025-08-15,0.74,0.88,0.74,0.86,0.18,+26.47%,158,3675
2025-08-14,0.88,0.88,0.68,0.68,-0.16,-19.05%,270,3703
2025-08-13,0.8,0.91,0.8,0.84,0.07,+9.09%,1590,3814
2025-08-12,0.75,0.78,0.75,0.77,0.01,+1.32%,448,3632
2025-08-11,0.95,0.98,0.76,0.76,-0.15,-16.48%,83,3546
2025-08-08,0.98,1.09,0.91,0.91,-0.05,-5.21%,623,3550
2025-08-07,0.99,0.99,0.96,0.96,0,0.00%,336,3662
2025-08-06,0.8,1.03,0.71,0.96,0.1,+11.63%,312,3496
2025-08-05,0.86,0.86,0.85,0.86,0.09,+11.69%,196,3546
2025-08-04,0.74,0.78,0.74,0.77,0,0.00%,115,3616
2025-08-01,0.6,0.78,0.6,0.77,0.26,+50.98%,118,3651
2025-07-31,0.46,0.54,0.46,0.51,0.09,+21.43%,22,3623
2025-07-30,0.45,0.48,0.39,0.42,-0.03,-6.67%,107,3614
2025-07-29,0.46,0.46,0.45,0.45,-0.22,-32.84%,410,3698
2025-07-28,0.68,0.68,0.67,0.67,-0.18,-21.18%,93,3977
2025-07-25,0.85,0.85,0.85,0.85,0.1,+13.33%,1011,3907
2025-07-24,0.83,0.83,0.75,0.75,-0.11,-12.79%,80,3107
2025-07-23,0.84,0.86,0.84,0.86,-0.04,-4.44%,188,3105
2025-07-22,0.96,0.96,0.9,0.9,0.1,+12.50%,78,3160
2025-07-21,0.83,0.83,0.8,0.8,-0.07,-8.05%,65,3154
2025-07-18,0.87,0.87,0.87,0.87,-0.02,-2.25%,9,3154
2025-07-17,1.07,1.07,0.89,0.89,-0.23,-20.54%,3033,3157
2025-07-16,1.2,1.2,1.1,1.12,0.02,+1.82%,40,4243
2025-07-15,1.17,1.17,1.1,1.1,0,0.00%,1,4206
2025-07-14,1.1,1.1,1.1,1.1,0.05,+4.76%,1,4207
2025-07-11,1.08,1.1,1,1.05,-0.21,-16.67%,96,4206
2025-07-10,1.2,1.26,1.2,1.26,0.27,+27.27%,2,4202
2025-07-09,0.99,0.99,0.99,0.99,-0.04,-3.88%,0,4201
2025-07-08,1.03,1.03,1.03,1.03,-0.11,-9.65%,1001,4201
2025-07-07,1.14,1.14,1.14,1.14,-0.22,-16.18%,6,3465
2025-07-03,1.36,1.36,1.36,1.36,-0.01,-0.73%,5,3462
2025-07-02,1.54,1.63,1.37,1.37,-0.31,-18.45%,95,3462
2025-07-01,1.68,1.68,1.68,1.68,-0.1,-5.62%,129,3484
2025-06-30,1.78,1.78,1.78,1.78,-0.1,-5.32%,400,3415
2025-06-27,1.86,1.88,1.86,1.88,-0.05,-2.59%,203,3552
2025-06-26,1.88,1.93,1.83,1.93,-0.1,-4.93%,141,3350
2025-06-25,2.1,2.1,1.98,2.03,-0.19,-8.56%,45,3246
2025-06-24,2.29,2.29,2.1,2.22,0.77,+53.10%,1230,3248
2025-06-23,1.17,1.45,1.16,1.45,0.16,+12.40%,2360,2472
2025-06-20,1.29,1.29,1.29,1.29,-0.16,-11.03%,1,657
2025-06-18,1.61,1.61,1.45,1.45,-0.13,-8.23%,1,657
2025-06-17,1.59,1.59,1.5,1.58,-0.03,-1.86%,61,657
2025-06-16,1.41,1.93,1.41,1.61,-0.01,-0.62%,236,657
2025-06-13,1.48,1.62,1.48,1.62,-0.33,-16.92%,193,597
2025-06-12,1.92,1.95,1.92,1.95,0.23,+13.37%,7,601
2025-06-11,1.95,1.95,1.72,1.72,-0.5,-22.52%,148,595
2025-06-10,2.22,2.22,2.22,2.22,0.09,+4.23%,1,510
2025-06-09,2.32,2.32,2.13,2.13,-0.19,-8.19%,151,509
2025-06-06,2.32,2.32,2.32,2.32,-0.33,-12.45%,2,529
2025-06-05,2.65,2.65,2.58,2.65,-0.23,-7.99%,30,528
2025-06-04,2.73,2.88,2.73,2.88,0.15,+5.49%,3,530
2025-06-03,3.03,3.09,2.73,2.73,-0.39,-12.50%,164,527
2025-06-02,3.06,3.12,3.01,3.12,-0.84,-21.21%,11,435
