Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.13,0.13,0.11,0.11,-0.06,-35.29%,39,0
2025-08-22,0.21,0.21,0.16,0.17,-0.03,-15.00%,252,1351
2025-08-21,0.26,0.26,0.19,0.2,-0.08,-28.57%,137,1226
2025-08-20,0.33,0.34,0.28,0.28,-0.12,-30.00%,58,1268
2025-08-19,0.37,0.43,0.36,0.4,0.03,+8.11%,57,1283
2025-08-18,0.51,0.51,0.37,0.37,-0.16,-30.19%,71,1280
2025-08-15,0.48,0.53,0.48,0.53,0.09,+20.45%,2,1297
2025-08-14,0.52,0.52,0.44,0.44,-0.08,-15.38%,8,1297
2025-08-13,0.49,0.52,0.49,0.52,0.03,+6.12%,21,1293
2025-08-12,0.5,0.5,0.49,0.49,0,0.00%,61,1274
2025-08-11,0.64,0.64,0.49,0.49,-0.12,-19.67%,18,1271
2025-08-08,0.68,0.68,0.6,0.61,-0.04,-6.15%,85,1269
2025-08-07,0.65,0.65,0.65,0.65,-0.01,-1.52%,7,1283
2025-08-06,0.47,0.72,0.47,0.66,0.06,+10.00%,61,1278
2025-08-05,0.6,0.6,0.6,0.6,0.05,+9.09%,2,1268
2025-08-04,0.55,0.55,0.55,0.55,-0.01,-1.79%,4,1269
2025-08-01,0.43,0.56,0.43,0.56,0.19,+51.35%,148,1270
2025-07-31,0.33,0.4,0.33,0.37,0.08,+27.59%,28,1300
2025-07-30,0.32,0.32,0.28,0.29,-0.03,-9.38%,66,1288
2025-07-29,0.42,0.42,0.32,0.32,-0.15,-31.91%,23,1290
2025-07-28,0.49,0.49,0.47,0.47,-0.12,-20.34%,62,1275
2025-07-25,0.6,0.6,0.59,0.59,0.06,+11.32%,84,1299
2025-07-24,0.59,0.59,0.53,0.53,-0.07,-11.67%,224,1305
2025-07-23,0.6,0.6,0.6,0.6,-0.03,-4.76%,64,1167
2025-07-22,0.62,0.66,0.62,0.63,0.06,+10.53%,195,1121
2025-07-21,0.61,0.61,0.57,0.57,-0.05,-8.06%,9,1075
2025-07-18,0.62,0.62,0.62,0.62,-0.02,-3.13%,32,1074
2025-07-17,0.76,0.76,0.64,0.64,-0.16,-20.00%,201,1046
2025-07-16,0.76,0.9,0.76,0.8,0.02,+2.56%,49,1041
2025-07-15,0.78,0.78,0.78,0.78,-0.01,-1.27%,4,1075
2025-07-14,0.77,0.79,0.77,0.79,0.03,+3.95%,6,1075
2025-07-11,0.8,0.8,0.73,0.76,-0.15,-16.48%,16,1069
2025-07-10,0.89,0.91,0.89,0.91,0.19,+26.39%,68,1083
2025-07-09,0.76,0.76,0.72,0.72,-0.03,-4.00%,159,1089
2025-07-08,0.75,0.75,0.75,0.75,-0.08,-9.64%,2,932
2025-07-07,1.06,1.06,0.83,0.83,-0.16,-16.16%,7,934
2025-07-03,1.05,1.05,0.99,0.99,0,0.00%,119,933
2025-07-02,1.13,1.13,0.99,0.99,-0.23,-18.85%,1,899
2025-07-01,1.23,1.23,1.22,1.22,-0.08,-6.15%,9,898
