Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-22,15.39,15.39,15.39,15.39,-0.14,-0.90%,0,11
2025-08-21,15.53,15.53,15.53,15.53,-0.8,-4.90%,0,11
2025-08-20,16.33,16.33,16.33,16.33,-0.94,-5.44%,0,11
2025-08-19,17.27,17.27,17.27,17.27,0.93,+5.69%,0,11
2025-08-18,16.34,16.34,16.34,16.34,-0.75,-4.39%,0,11
2025-08-15,17.09,17.09,17.09,17.09,1.02,+6.35%,0,11
2025-08-14,16.07,16.07,16.07,16.07,-1.05,-6.13%,0,11
2025-08-13,17.12,17.12,17.12,17.12,0.54,+3.26%,0,11
2025-08-12,16.58,16.58,16.58,16.58,0.59,+3.69%,0,11
2025-08-11,15.99,15.99,15.99,15.99,-0.11,-0.68%,0,11
2025-08-08,16.1,16.1,16.1,16.1,0.01,+0.06%,0,11
2025-08-07,16.09,16.09,16.09,16.09,0.31,+1.96%,0,11
2025-08-06,15.78,15.78,15.78,15.78,0.72,+4.78%,0,11
2025-08-05,15.06,15.06,15.06,15.06,0.96,+6.81%,0,11
2025-08-04,14.1,14.1,14.1,14.1,0.71,+5.30%,0,11
2025-08-01,13.39,13.39,13.39,13.39,1.85,+16.03%,0,11
2025-07-31,11.54,11.54,11.54,11.54,0.57,+5.20%,0,11
2025-07-30,10.97,10.97,10.97,10.97,-0.57,-4.94%,0,11
2025-07-29,11.54,11.54,11.54,11.54,-2.,-14.77%,0,11
2025-07-28,13.54,13.54,13.54,13.54,-1.43,-9.55%,0,11
2025-07-25,14.97,14.97,14.97,14.97,0.77,+5.42%,0,11
2025-07-24,14.2,14.2,14.2,14.2,-0.57,-3.86%,0,11
2025-07-23,14.77,14.77,14.77,14.77,-0.03,-0.20%,0,11
2025-07-22,14.8,14.8,14.8,14.8,0.53,+3.71%,0,11
2025-07-21,14.27,14.27,14.27,14.27,-0.05,-0.35%,0,11
2025-07-18,14.32,14.32,14.32,14.32,0.09,+0.63%,0,11
