Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-22,6.18,6.18,6.18,6.18,-0.17,-2.68%,0,1337
2025-08-21,6.35,6.35,6.35,6.35,-0.74,-10.44%,0,1337
2025-08-20,7.09,7.09,7.09,7.09,-0.9,-11.26%,0,1337
2025-08-19,7.99,7.99,7.99,7.99,0.84,+11.75%,0,1337
2025-08-18,7.15,7.15,7.15,7.15,-0.8,-10.06%,0,1337
2025-08-15,7.95,7.95,7.95,7.95,0.9,+12.77%,0,1337
2025-08-14,7.05,7.05,7.05,7.05,-0.89,-11.21%,0,1337
2025-08-13,7.94,7.94,7.94,7.94,0.49,+6.58%,0,1337
2025-08-12,7.45,7.45,7.45,7.45,0.46,+6.58%,0,1337
2025-08-11,6.99,6.99,6.99,6.99,-0.18,-2.51%,0,1337
2025-08-08,7.17,7.17,7.17,7.17,-0.04,-0.55%,0,1337
2025-08-07,7.21,7.21,7.21,7.21,0.2,+2.85%,1,1337
2025-08-06,7.01,7.01,7.01,7.01,0.53,+8.18%,2,1337
2025-08-05,6.48,6.48,6.48,6.48,0.63,+10.77%,21,1335
2025-08-04,5.85,5.85,5.85,5.85,0.4,+7.34%,1,1335
2025-08-01,5.45,5.45,5.45,5.45,1.31,+31.64%,0,1334
2025-07-31,4.11,4.14,4.11,4.14,0.36,+9.52%,103,1334
2025-07-30,3.92,3.92,3.78,3.78,-0.28,-6.90%,10,1275
2025-07-29,3.94,4.06,3.94,4.06,-1.26,-23.68%,3,1284
2025-07-28,5.32,5.32,5.32,5.32,-1.02,-16.09%,0,1287
2025-07-25,6.34,6.34,6.34,6.34,0.57,+9.88%,0,1287
2025-07-24,5.77,5.77,5.77,5.77,-0.44,-7.09%,0,1287
2025-07-23,6.21,6.21,6.21,6.21,-0.05,-0.80%,0,1287
2025-07-22,6.54,6.54,6.26,6.26,0.38,+6.46%,1,1287
2025-07-21,5.88,5.88,5.88,5.88,-0.09,-1.51%,0,1286
2025-07-18,5.97,5.97,5.97,5.97,0,0.00%,0,1286
2025-07-17,5.97,5.97,5.97,5.97,-0.8,-11.82%,0,1286
2025-07-16,6.77,6.77,6.77,6.77,0.1,+1.50%,1,1286
2025-07-15,6.67,6.67,6.67,6.67,0.17,+2.62%,0,1286
2025-07-14,6.5,6.5,6.5,6.5,0.39,+6.38%,1,1286
2025-07-11,6.11,6.11,6.11,6.11,-0.82,-11.83%,0,1286
2025-07-10,6.93,6.93,6.93,6.93,0.93,+15.50%,1,1286
2025-07-09,6,6,6,6,-0.06,-0.99%,0,1286
2025-07-08,6.06,6.06,6.06,6.06,-0.39,-6.05%,0,1286
2025-07-07,6.45,6.45,6.45,6.45,-0.64,-9.03%,0,1286
2025-07-03,7.09,7.09,7.09,7.09,-0.03,-0.42%,0,1286
2025-07-02,7.12,7.12,7.12,7.12,-0.89,-11.11%,0,1286
2025-07-01,8.01,8.01,8.01,8.01,-0.28,-3.38%,1,1286
2025-06-30,8.29,8.29,8.29,8.29,-0.03,-0.36%,0,1286
2025-06-27,8.32,8.32,8.32,8.32,-0.19,-2.23%,13,1286
2025-06-26,8.51,8.51,8.51,8.51,-0.27,-3.08%,1,1273
2025-06-25,8.78,8.78,8.78,8.78,-0.22,-2.44%,0,1272
2025-06-24,9,9,9,9,2.17,+31.77%,0,1272
2025-06-23,6.83,6.83,6.83,6.83,1.01,+17.35%,4,1272
2025-06-20,5.75,5.82,5.75,5.82,-0.14,-2.35%,15,1268
2025-06-18,5.96,5.96,5.96,5.96,-0.23,-3.72%,370,1255
2025-06-17,6.27,6.28,6.19,6.19,-0.44,-6.64%,771,1013
2025-06-16,6.61,7.55,6.61,6.63,0.26,+4.08%,27,249
2025-06-13,6.33,6.65,6.33,6.37,-1.46,-18.65%,24,233
2025-06-12,7.83,7.83,7.83,7.83,0.43,+5.81%,0,228
2025-06-11,7.4,7.4,7.4,7.4,-1.37,-15.62%,0,228
2025-06-10,8.77,8.77,8.77,8.77,0.2,+2.33%,0,228
2025-06-09,8.57,8.57,8.57,8.57,-0.34,-3.82%,0,228
2025-06-06,8.91,8.91,8.91,8.91,-0.78,-8.05%,0,228
2025-06-05,9.69,9.69,9.69,9.69,-0.47,-4.63%,0,228
2025-06-04,10.16,10.16,10.16,10.16,0.45,+4.63%,0,228
2025-06-03,9.71,9.71,9.71,9.71,-0.87,-8.22%,0,228
2025-06-02,10.58,10.58,10.58,10.58,-1.44,-11.98%,0,228
2025-05-30,12.02,12.02,12.02,12.02,0.54,+4.70%,0,228
2025-05-29,11.48,11.48,11.48,11.48,0.83,+7.79%,0,228
2025-05-28,10.65,10.65,10.65,10.65,-0.66,-5.84%,0,228
2025-05-27,11.31,11.31,11.31,11.31,0.31,+2.82%,0,228
2025-05-23,11,11,11,11,-0.15,-1.35%,0,228
2025-05-22,11.15,11.15,11.15,11.15,0.49,+4.60%,0,228
2025-05-21,10.66,10.66,10.66,10.66,0.4,+3.90%,0,228
2025-05-20,10.26,10.26,10.26,10.26,-0.1,-0.97%,0,228
2025-05-19,10.36,10.36,10.36,10.36,0,0.00%,0,228
2025-05-16,10.36,10.36,10.36,10.36,-0.41,-3.81%,0,228
2025-05-15,10.77,10.77,10.77,10.77,1.07,+11.03%,0,228
2025-05-14,9.7,9.7,9.7,9.7,0.42,+4.53%,0,228
2025-05-13,9.27,9.28,9.27,9.28,-1.11,-10.68%,0,228
2025-05-12,10.39,10.39,10.39,10.39,-1.05,-9.18%,0,228
2025-05-09,11.44,11.44,11.44,11.44,-0.73,-6.00%,0,228
2025-05-08,12.17,12.17,12.17,12.17,-1.34,-9.92%,0,228
2025-05-07,13.51,13.51,13.51,13.51,0.77,+6.04%,0,228
2025-05-06,12.74,12.74,12.74,12.74,-1.5,-10.53%,0,228
2025-05-05,14.3,14.3,14.24,14.24,0.62,+4.55%,1,228
2025-05-02,13.62,13.62,13.62,13.62,0.49,+3.73%,0,227
2025-05-01,13.13,13.13,13.13,13.13,-0.85,-6.08%,0,227
2025-04-30,13.98,13.98,13.98,13.98,1.91,+15.82%,0,227
2025-04-29,11.98,12.07,11.98,12.07,0.99,+8.94%,1,227
2025-04-28,11.08,11.08,11.08,11.08,0.6,+5.73%,0,226
2025-04-25,10.48,10.48,10.48,10.48,-0.21,-1.96%,0,226
2025-04-24,10.69,10.69,10.69,10.69,-0.44,-3.95%,0,226
2025-04-23,11.13,11.13,11.13,11.13,0.8,+7.74%,0,226
2025-04-22,10.33,10.33,10.33,10.33,-0.87,-7.77%,0,226
2025-04-21,11.2,11.2,11.2,11.2,1.13,+11.22%,0,226
2025-04-17,10.07,10.07,10.07,10.07,-1.27,-11.20%,0,226
2025-04-16,11.34,11.34,11.34,11.34,-0.5,-4.22%,0,226
2025-04-15,11.84,11.84,11.84,11.84,0.25,+2.16%,0,226
2025-04-14,11.59,11.59,11.59,11.59,-0.57,-4.69%,0,226
2025-04-11,12.16,12.16,12.16,12.16,-0.5,-3.95%,0,226
2025-04-10,12.66,12.66,12.66,12.66,1.55,+13.95%,0,226
2025-04-09,11.11,11.11,11.11,11.11,-1.96,-15.00%,0,226
2025-04-08,13.07,13.07,13.07,13.07,1.39,+11.90%,0,226
2025-04-07,11.68,11.68,11.68,11.68,0.47,+4.19%,0,226
2025-04-04,11.21,11.21,11.21,11.21,3.18,+39.60%,0,226
2025-04-03,7.73,8.03,7.73,8.03,2.6,+47.88%,1,226
2025-04-02,5.43,5.43,5.43,5.43,-0.16,-2.86%,0,225
2025-04-01,5.59,5.59,5.59,5.59,-0.06,-1.06%,1,225
2025-03-31,5.65,5.65,5.65,5.65,-0.83,-12.81%,0,226
2025-03-28,6.48,6.48,6.48,6.48,0.38,+6.23%,0,226
2025-03-27,6.1,6.1,6.1,6.1,-0.19,-3.02%,0,226
2025-03-26,6.29,6.29,6.29,6.29,-0.24,-3.68%,0,226
2025-03-25,6.53,6.53,6.53,6.53,-0.04,-0.61%,0,226
2025-03-24,6.79,6.79,6.57,6.57,-0.4,-5.74%,1,226
2025-03-21,6.97,6.97,6.97,6.97,-0.16,-2.24%,0,225
2025-03-20,7.13,7.13,7.13,7.13,-0.6,-7.76%,0,225
2025-03-19,7.73,7.73,7.73,7.73,-0.03,-0.39%,0,225
2025-03-18,7.76,7.76,7.76,7.76,0.27,+3.60%,0,225
2025-03-17,7.49,7.49,7.49,7.49,-0.31,-3.97%,1,225
2025-03-14,7.8,7.8,7.8,7.8,-0.34,-4.18%,0,224
2025-03-13,8.14,8.14,8.14,8.14,0.57,+7.53%,0,224
2025-03-12,7.57,7.57,7.57,7.57,-0.86,-10.20%,5,224
2025-03-11,8.43,8.43,8.43,8.43,-0.18,-2.09%,0,219
2025-03-10,8.62,8.62,8.61,8.61,0.74,+9.40%,0,219
2025-03-07,7.87,7.87,7.87,7.87,-0.48,-5.75%,0,219
2025-03-06,8.35,8.35,8.35,8.35,0.06,+0.72%,0,219
2025-03-05,8.29,8.29,8.29,8.29,0.88,+11.88%,0,219
2025-03-04,7.74,7.97,7.39,7.41,0.25,+3.49%,13,219
2025-03-03,7.16,7.16,7.16,7.16,0.41,+6.07%,0,206
2025-02-28,6.75,6.75,6.75,6.75,0.35,+5.47%,0,206
2025-02-27,6.44,6.44,6.4,6.4,-0.63,-8.96%,1,206
2025-02-26,6.62,7.03,6.62,7.03,0.27,+3.99%,5,205
2025-02-25,6.76,6.76,6.76,6.76,0.89,+15.16%,0,200
2025-02-24,5.87,5.87,5.87,5.87,-0.17,-2.81%,0,200
2025-02-21,6.04,6.04,6.04,6.04,0.98,+19.37%,0,200
2025-02-20,5.06,5.06,5.06,5.06,-0.2,-3.80%,0,200
2025-02-19,5.26,5.26,5.26,5.26,-0.11,-2.05%,0,200
2025-02-18,5.64,5.64,5.37,5.37,-0.39,-6.77%,2,200
2025-02-14,5.73,5.81,5.73,5.76,-0.04,-0.69%,4,202
2025-02-13,5.97,6.1,5.8,5.8,-0.03,-0.51%,2,202
2025-02-12,5.83,5.83,5.83,5.83,0.58,+11.05%,0,200
2025-02-11,5.25,5.25,5.25,5.25,-0.43,-7.57%,0,200
2025-02-10,5.68,5.68,5.68,5.68,-0.42,-6.89%,200,200
2025-02-07,6.04,6.1,6.04,6.1,-0.19,-3.02%,1,0
2025-02-06,6.29,6.29,6.29,6.29,-0.14,-2.18%,0,1
"Downloaded from Barchart.com as of 08-25-2025 01:48pm CDT"
