Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,2.53,2.63,1.85,1.96,-0.7,-26.32%,754,0
2025-08-22,2.85,2.85,2.62,2.66,-0.18,-6.34%,57,10825
2025-08-21,3.17,3.46,2.83,2.84,-0.57,-16.72%,253,10830
2025-08-20,3.57,3.84,3.28,3.41,-0.74,-17.83%,1241,11033
2025-08-19,3.64,4.18,3.64,4.15,0.63,+17.90%,464,11125
2025-08-18,3.86,3.96,3.39,3.52,-0.74,-17.37%,28,10855
2025-08-15,4.26,4.26,4.26,4.26,0.68,+18.99%,0,10870
2025-08-14,3.58,3.58,3.58,3.58,-0.65,-15.37%,103,10870
2025-08-13,3.98,4.61,3.93,4.23,0.35,+9.02%,8,10970
2025-08-12,3.65,3.88,3.65,3.88,0.28,+7.78%,50,10970
2025-08-11,3.97,4,3.5,3.6,-0.19,-5.01%,23,11020
2025-08-08,4.3,4.3,3.79,3.79,-0.08,-2.07%,280,11041
2025-08-07,3.51,3.93,3.51,3.87,0.1,+2.65%,21,11289
2025-08-06,3.06,4,2.88,3.77,0.36,+10.56%,1718,11299
2025-08-05,3.34,3.52,3.24,3.41,0.38,+12.54%,1651,11530
2025-08-04,3.06,3.43,2.62,3.03,0.2,+7.07%,1848,11248
2025-08-01,1.99,2.85,1.99,2.83,0.83,+41.50%,976,11589
2025-07-31,1.75,2.05,1.75,2,0.23,+12.99%,580,11483
2025-07-30,1.87,1.92,1.7,1.77,-0.13,-6.84%,2658,11503
2025-07-29,2.34,2.34,1.8,1.9,-0.76,-28.57%,3001,10904
2025-07-28,3.05,3.05,2.58,2.66,-0.63,-19.15%,3258,11841
2025-07-25,2.82,3.29,2.82,3.29,0.35,+11.90%,1303,10070
2025-07-24,3.08,3.22,2.8,2.94,-0.31,-9.54%,2515,9727
2025-07-23,3.28,3.57,3.25,3.25,-0.07,-2.11%,7826,10034
2025-07-22,3.22,3.51,3.22,3.32,0.28,+9.21%,79,10123
2025-07-21,3.08,3.27,3.04,3.04,-0.12,-3.80%,236,10182
2025-07-18,3.22,3.22,3.16,3.16,-0.03,-0.94%,8,10266
2025-07-17,3.32,3.32,3.15,3.19,-0.59,-15.61%,69,10263
2025-07-16,3.78,3.78,3.78,3.78,0.06,+1.61%,15,10234
2025-07-15,3.66,3.72,3.65,3.72,0.08,+2.20%,66,10219
2025-07-14,3.02,3.64,3.02,3.64,0.21,+6.12%,134,10179
2025-07-11,3.82,3.82,3.43,3.43,-0.54,-13.60%,209,10141
2025-07-10,3.25,3.97,3.25,3.97,0.65,+19.58%,117,10178
2025-07-09,3.34,3.34,3.28,3.32,-0.06,-1.78%,415,10093
2025-07-08,3.29,3.38,3.22,3.38,-0.29,-7.90%,18,10395
2025-07-07,3.76,3.76,3.67,3.67,-0.52,-12.41%,24,10396
2025-07-03,4.29,4.33,4.19,4.19,-0.04,-0.95%,186,10387
2025-07-02,4.57,4.61,4.23,4.23,-0.66,-13.50%,3055,10480
2025-07-01,4.93,4.93,4.89,4.89,-0.24,-4.68%,2,10936
2025-06-30,5.18,5.18,5.13,5.13,-0.08,-1.54%,16,10937
2025-06-27,5.13,5.21,5.07,5.21,-0.14,-2.62%,4,10941
2025-06-26,5.26,5.35,5.18,5.35,-0.22,-3.95%,83,10940
2025-06-25,5.5,5.57,5.45,5.57,-0.2,-3.47%,3558,10914
2025-06-24,5.39,5.77,4.81,5.77,1.54,+36.41%,2276,13032
2025-06-23,3.09,4.3,3.04,4.23,0.64,+17.83%,6214,13281
2025-06-20,3.6,3.63,3.59,3.59,-0.17,-4.52%,4990,11386
2025-06-18,4.11,4.11,3.76,3.76,-0.19,-4.81%,2038,12750
2025-06-17,3.93,3.96,3.87,3.95,-0.22,-5.28%,6059,11926
2025-06-16,4.85,4.85,4.17,4.17,0.12,+2.96%,2170,6778
2025-06-13,4.15,4.22,3.84,4.05,-0.92,-18.51%,2797,5530
2025-06-12,4.38,5.18,4.38,4.97,0.39,+8.52%,27,3044
2025-06-11,5.03,5.03,4.57,4.58,-1.,-17.92%,24,3047
2025-06-10,5.39,5.58,5.22,5.58,0.14,+2.57%,5,3046
2025-06-09,5.41,5.44,5.41,5.44,-0.28,-4.90%,1,3041
2025-06-06,5.72,5.72,5.72,5.72,-0.63,-9.92%,0,3040
2025-06-05,6.35,6.35,6.35,6.35,-0.41,-6.07%,0,3040
2025-06-04,6.76,6.76,6.76,6.76,0.35,+5.46%,0,3040
2025-06-03,6.45,6.45,6.41,6.41,-0.72,-10.10%,18,3040
2025-06-02,6.74,7.13,6.66,7.13,-1.25,-14.92%,2,3030
2025-05-30,8.38,8.38,8.38,8.38,0.47,+5.94%,0,3028
2025-05-29,7.91,7.91,7.91,7.91,0.69,+9.56%,0,3028
2025-05-28,7.22,7.22,7.22,7.22,-0.58,-7.44%,0,3028
2025-05-27,7.8,7.8,7.8,7.8,0.19,+2.50%,500,3028
2025-05-23,7.61,7.61,7.61,7.61,-0.12,-1.55%,1,2528
2025-05-22,7.73,7.73,7.73,7.73,0.45,+6.18%,0,2527
2025-05-21,7.28,7.28,7.28,7.28,0.34,+4.90%,0,2527
2025-05-20,6.94,6.94,6.94,6.94,-0.1,-1.42%,0,2527
2025-05-19,7.04,7.04,7.04,7.04,-0.02,-0.28%,0,2527
2025-05-16,7.06,7.06,7.06,7.06,-0.33,-4.47%,0,2527
2025-05-15,7.39,7.39,7.39,7.39,0.88,+13.52%,0,2527
2025-05-14,6.51,6.51,6.51,6.51,0.31,+5.00%,0,2527
2025-05-13,6.19,6.2,6.19,6.2,-0.89,-12.55%,0,2527
2025-05-12,7.09,7.09,7.09,7.09,-0.94,-11.71%,0,2527
2025-05-09,8.14,8.14,8.03,8.03,-0.62,-7.17%,1,2527
2025-05-08,8.65,8.65,8.65,8.65,-1.17,-11.91%,0,2527
2025-05-07,9.82,9.82,9.82,9.82,0.64,+6.97%,0,2527
2025-05-06,9.18,9.18,9.18,9.18,-1.31,-12.49%,0,2527
2025-05-05,10.49,10.49,10.49,10.49,0.44,+4.38%,0,2527
2025-05-02,10.05,10.05,10.05,10.05,0.38,+3.93%,0,2527
2025-05-01,9.67,9.67,9.67,9.67,-0.78,-7.46%,0,2527
2025-04-30,10.45,10.45,10.45,10.45,1.75,+20.11%,0,2527
2025-04-29,8.7,8.7,8.7,8.7,0.85,+10.83%,0,2527
2025-04-28,7.85,7.85,7.85,7.85,0.48,+6.51%,0,2527
2025-04-25,7.37,7.37,7.37,7.37,-0.2,-2.64%,0,2527
2025-04-24,7.57,7.57,7.57,7.57,-0.37,-4.66%,0,2527
2025-04-23,7.94,7.94,7.94,7.94,0.66,+9.07%,0,2527
2025-04-22,7.28,7.28,7.28,7.28,-0.7,-8.77%,0,2527
2025-04-21,7.98,7.98,7.98,7.98,0.91,+12.87%,0,2527
2025-04-17,7.62,7.62,7.07,7.07,-1.03,-12.72%,10,2527
2025-04-16,8,8.1,8,8.1,-0.4,-4.71%,1,2527
2025-04-15,8.29,8.5,8.24,8.5,0.14,+1.67%,12,2527
2025-04-14,8.36,8.36,8.36,8.36,-0.56,-6.28%,0,2527
2025-04-11,8.92,8.92,8.92,8.92,-0.39,-4.19%,0,2527
2025-04-10,9.31,9.31,9.31,9.31,1.4,+17.70%,0,2527
2025-04-09,7.91,7.91,7.91,7.91,-1.79,-18.45%,315,2527
2025-04-08,9.22,9.7,9.22,9.7,1.24,+14.66%,1,2348
2025-04-07,8.9,9.08,8.46,8.46,0.42,+5.22%,10,2347
2025-04-04,7.99,8.06,7.8,8.04,2.66,+49.44%,63,2357
2025-04-03,5.38,5.38,5.38,5.38,1.93,+55.94%,163,2355
2025-04-02,3.45,3.45,3.45,3.45,-0.11,-3.09%,0,2460
2025-04-01,3.56,3.56,3.56,3.56,-0.06,-1.66%,5,2460
2025-03-31,3.62,3.62,3.62,3.62,-0.56,-13.40%,1,2458
2025-03-28,4.1,4.18,4.1,4.18,0.23,+5.82%,151,2457
2025-03-27,3.99,3.99,3.95,3.95,-0.13,-3.19%,54,2357
2025-03-26,3.98,4.08,3.98,4.08,-0.16,-3.77%,1,2306
2025-03-25,4.24,4.24,4.24,4.24,-0.04,-0.93%,0,2307
2025-03-24,4.32,4.32,4.25,4.28,-0.32,-6.96%,3,2307
2025-03-21,4.6,4.6,4.6,4.6,-0.12,-2.54%,0,2306
2025-03-20,4.75,4.75,4.72,4.72,-0.45,-8.70%,1,2306
2025-03-19,5.14,5.17,5.14,5.17,-0.04,-0.77%,1,2306
2025-03-18,5.21,5.21,5.21,5.21,0.2,+3.99%,0,2306
2025-03-17,5.01,5.01,5.01,5.01,-0.24,-4.57%,0,2306
