Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.37,0.37,0.23,0.25,-0.14,-35.90%,97,0
2025-08-22,0.48,0.48,0.38,0.39,-0.07,-15.22%,206,2625
2025-08-21,0.53,0.6,0.46,0.46,-0.18,-28.13%,39,2633
2025-08-20,0.73,0.75,0.64,0.64,-0.25,-28.09%,125,2642
2025-08-19,0.84,0.92,0.79,0.89,0.15,+20.27%,47,2646
2025-08-18,0.9,1.06,0.74,0.74,-0.35,-32.11%,73,2641
2025-08-15,0.86,1.15,0.86,1.09,0.23,+26.74%,153,2651
2025-08-14,1.1,1.1,0.86,0.86,-0.21,-19.63%,187,2657
2025-08-13,0.98,1.21,0.98,1.07,0.1,+10.31%,268,2637
2025-08-12,0.95,0.97,0.95,0.97,0.03,+3.19%,1347,2466
2025-08-11,0.93,0.94,0.91,0.94,-0.17,-15.32%,22,1385
2025-08-08,1.18,1.44,1.07,1.11,-0.06,-5.13%,12,1380
2025-08-07,1.08,1.19,1.08,1.17,0,0.00%,34,1379
2025-08-06,0.87,1.22,0.87,1.17,0.13,+12.50%,240,1359
2025-08-05,0.96,1.04,0.96,1.04,0.11,+11.83%,183,1405
2025-08-04,1.05,1.07,0.9,0.93,0.01,+1.09%,91,1261
2025-08-01,0.85,0.92,0.84,0.92,0.31,+50.82%,110,1272
2025-07-31,0.64,0.64,0.61,0.61,0.11,+22.00%,16,1255
2025-07-30,0.5,0.51,0.49,0.5,-0.04,-7.41%,208,1245
2025-07-29,0.8,0.8,0.53,0.54,-0.26,-32.50%,106,1241
2025-07-28,0.92,0.92,0.77,0.8,-0.22,-21.57%,171,1173
2025-07-25,1.01,1.03,1.01,1.02,0.12,+13.33%,27,1036
2025-07-24,0.87,1.01,0.87,0.9,-0.13,-12.62%,95,1028
2025-07-23,1.13,1.13,1.03,1.03,-0.04,-3.74%,167,1025
2025-07-22,1.07,1.07,1.07,1.07,0.12,+12.63%,116,934
2025-07-21,0.95,0.95,0.95,0.95,-0.09,-8.65%,6,822
2025-07-18,0.92,1.04,0.92,1.04,-0.02,-1.89%,1,820
2025-07-17,1.18,1.18,1.06,1.06,-0.27,-20.30%,3,820
2025-07-16,1.33,1.33,1.33,1.33,0.03,+2.31%,3,817
2025-07-15,1.3,1.34,1.28,1.3,0,0.00%,23,819
2025-07-14,1.3,1.3,1.3,1.3,0.06,+4.84%,9,798
2025-07-11,1.24,1.24,1.24,1.24,-0.24,-16.22%,1,790
2025-07-10,1.48,1.48,1.48,1.48,0.31,+26.50%,6,789
2025-07-09,1.17,1.17,1.17,1.17,-0.04,-3.31%,4,790
2025-07-08,1.21,1.21,1.21,1.21,-0.13,-9.70%,83,788
2025-07-07,1.41,1.41,1.34,1.34,-0.25,-15.72%,43,856
2025-07-03,1.63,1.73,1.59,1.59,-0.02,-1.24%,30,854
2025-07-02,1.61,1.61,1.61,1.61,-0.35,-17.86%,1,844
2025-07-01,1.96,1.96,1.96,1.96,-0.12,-5.77%,1,844
2025-06-30,2.2,2.2,2.08,2.08,-0.09,-4.15%,50,843
2025-06-27,2.13,2.33,2.1,2.17,-0.08,-3.56%,324,843
2025-06-26,2.32,2.32,2.25,2.25,-0.11,-4.66%,11,729
2025-06-25,2.27,2.36,2.19,2.36,-0.21,-8.17%,8,733
2025-06-24,2.57,2.57,2.57,2.57,0.87,+51.18%,0,732
2025-06-23,1.35,1.75,1.35,1.7,0.21,+14.09%,13,732
2025-06-20,1.49,1.49,1.49,1.49,-0.17,-10.24%,0,735
2025-06-18,1.79,1.79,1.66,1.66,-0.14,-7.78%,3,735
2025-06-17,1.77,1.8,1.71,1.8,-0.04,-2.17%,58,735
2025-06-16,1.92,2.21,1.84,1.84,-0.02,-1.08%,19,727
2025-06-13,1.72,1.86,1.72,1.86,-0.37,-16.59%,42,727
2025-06-12,2.24,2.25,2.23,2.23,0.25,+12.63%,7,722
2025-06-11,2.61,2.61,1.98,1.98,-0.55,-21.74%,2,729
2025-06-10,2.53,2.53,2.53,2.53,0.09,+3.69%,0,727
2025-06-09,2.65,2.65,2.44,2.44,-0.2,-7.58%,2,727
2025-06-06,2.64,2.64,2.64,2.64,-0.36,-12.00%,1,727
2025-06-05,3.1,3.1,2.95,3,-0.25,-7.69%,129,726
2025-06-04,2.98,3.38,2.97,3.25,0.16,+5.18%,20,700
2025-06-03,3.28,3.39,3.05,3.09,-0.43,-12.22%,112,703
2025-06-02,3.4,3.52,3.4,3.52,-0.89,-20.18%,9,704
2025-05-30,4.53,4.53,4.21,4.41,0.35,+8.62%,8,697
