removed_feature,r2_score,performance_drop
implied_variance_mom_1,0.8664942290375868,0.0043469925315811064
T,0.8666333661283134,0.004207855440854447
rho_lag_1,0.8667252065503253,0.0041160150188426226
r,0.8672548964354931,0.0035863251336747393
F,0.8673200737356456,0.003521147833522309
atm_iv_mom_1,0.8681839801149953,0.0026572414541725653
atm_iv_ma_2,0.8682901615096646,0.0025510600595032296
implied_kurtosis_mom_1,0.8687356897925653,0.002105531776602554
nu,0.8690466430658808,0.0017945785032871253
atm_iv_lag_1,0.8692918585028491,0.0015493630663188096
iv_vol_ratio,0.8694611315058408,0.0013800900633270663
implied_skew_ma_2,0.8695604675657128,0.0012807540034550646
OVX_Close_ma_2,0.8696605690749791,0.0011806524941887497
vol_regime_high,0.8697570794422348,0.0010841421269330853
implied_kurtosis_lag_1,0.8698322833707852,0.0010089381983826584
term_structure_interaction,0.8699517433639528,0.0008894782052151218
implied_kurtosis,0.8700256168941594,0.0008156046750085189
rho_ma_2,0.8700284425699735,0.0008127789991944079
rho,0.8705689410548619,0.0002722805143059448
rho_vol_interaction,0.870569282497665,0.0002719390715029135
vol_momentum,0.8707174540249136,0.00012376754425424963
implied_skew_mom_1,0.8708742776658928,-3.3056096724881634e-05
skew_kurt_interaction,0.8717040833013305,-0.0008628617321626564
implied_skew_lag_1,0.8719314213634617,-0.0010901997942938113
rho_mom_1,0.8719508869913907,-0.0011096654222227942
vol_regime_low,0.8720626407436243,-0.0012214191744563951
implied_skew,0.8720987358594895,-0.0012575142903216152
OVX_Close_mom_1,0.8721892488385338,-0.0013480272693658923
skew_level,0.8722489505864512,-0.0014077290172833656
iv_rmse,0.874474086952217,-0.0036328653830490776
