date,im_correction_factor
2025-05-27,0.96373814
2025-05-28,0.9663973
2025-05-29,0.9741939
2025-05-30,0.9759338
2025-06-02,0.95897233
2025-06-03,0.970199
2025-06-04,0.9714443
2025-06-05,0.9715744
2025-06-06,0.9699858
2025-06-09,0.99679196
2025-06-10,1.000667
2025-06-11,1.0467346
2025-06-12,1.0430974
2025-06-13,1.0468942
2025-06-16,1.0022562
2025-06-17,1.0192254
2025-06-18,0.9141894
2025-06-20,0.896591
2025-06-23,0.87679875
2025-06-24,0.93488276
2025-06-25,0.9642483
2025-06-26,0.9757817
2025-06-27,0.97085637
2025-06-30,0.9711634
2025-07-01,0.97308314
2025-07-02,0.97715086
2025-07-03,0.95451593
2025-07-07,0.96892315
2025-07-08,0.96908224
2025-07-09,0.9712173
2025-07-10,0.9805067
2025-07-11,0.9927444
2025-07-14,0.9551616
2025-07-15,0.96211326
2025-07-16,0.97212315
2025-07-17,0.96158385
2025-07-18,0.97122127
2025-07-21,0.97150934
2025-07-22,0.9870269
2025-07-23,0.9744672
2025-07-24,0.9928855
2025-07-25,0.98722273
2025-07-28,1.0148283
2025-07-29,1.0156559
2025-07-30,0.9920297
2025-07-31,0.9841123
2025-08-01,0.97977895
2025-08-04,0.95430005
2025-08-05,0.9519879
2025-08-06,0.9636572
2025-08-07,0.95519674
2025-08-08,0.9534436
2025-08-11,0.9621755
2025-08-12,0.9669174
2025-08-13,0.98343503
2025-08-14,0.96528995
2025-08-15,0.96374613
2025-08-18,0.9416912
2025-08-19,0.9567241
2025-08-20,0.9451056
