date,im_correction_factor,price,pnl,baseline_margin,garch_volatility,margin_950,margin_990,margin_995,dynamic_margin,baseline_breach_950,baseline_breach_990,baseline_breach_995,baseline_breach,dynamic_breach,baseline_breach_magnitude,dynamic_breach_magnitude
2024-07-18,0.97999936,73.33,-1.7600000000000051,2.1462017205407427,0.009415462158834183,1.3338063397630213,2.1462017205407427,2.525640395916348,2.1032763125608267,1,0,0,0,0,0.0,0.0
2024-07-19,0.97993326,71.57,0.20000000000000284,1.9439577919331477,0.008737930829283973,1.2081172064566588,1.9439577919331477,2.2876406631645416,1.9049488963514511,0,0,0,0,0,0.0,0.0
2024-07-22,0.97794014,71.77,-1.2000000000000028,2.635678994905811,0.011814146658504271,1.6380032311687183,2.635678994905811,3.1016550198856034,2.577536285273248,0,0,0,0,0,0.0,0.0
2024-07-23,0.9809789,70.57,0.6500000000000057,2.1973074257340897,0.010016672961183505,1.3655671537315106,2.1973074257340897,2.585781356694996,2.155512221458459,0,0,0,0,0,0.0,0.0
2024-07-24,0.9714529,71.22,0.29999999999999716,2.76971359936608,0.012510817319109606,1.7213021137787334,2.76971359936608,3.259386331083245,2.6906463082736165,0,0,0,0,0,0.0,0.0
2024-07-25,0.9776815,71.52,-0.5899999999999892,2.5041801514556887,0.011263953571823693,1.5562802554639523,2.5041801514556887,2.9469077806791093,2.448290606745425,0,0,0,0,0,0.0,0.0
2024-07-26,0.97594965,70.93,-0.5800000000000125,2.522406184125273,0.011440311539425718,1.5676072419679485,2.522406184125273,2.968356092795826,2.461741432554896,0,0,0,0,0,0.0,0.0
2024-07-29,0.9805315,70.35,-0.5099999999999909,2.4485673800637486,0.011196975973410087,1.5217184217162503,2.4485673800637486,2.881462924954664,2.4008974460249775,0,0,0,0,0,0.0,0.0
2024-07-30,0.98283076,69.84,1.789999999999992,2.5050427781659588,0.011538881265370473,1.5568163546404625,2.5050427781659588,2.9479229158573186,2.4620330974973608,1,0,0,0,0,0.0,0.0
2024-07-31,0.98427695,71.63,-0.8199999999999932,2.5218442411212108,0.011325987989779575,1.5672580095848834,2.5218442411212108,2.9676948008316653,2.48219315802585,0,0,0,0,0,0.0,0.0
2024-08-01,0.98532844,70.81,-2.3599999999999994,3.0567410666475996,0.01388726893116625,1.8996819239718574,3.0567410666475996,3.5971589454492023,3.0118939066838153,1,0,0,0,0,0.0,0.0
2024-08-02,0.9891177,68.45,0.01999999999999602,2.8158312989353864,0.013233842694488289,1.7499630171188578,2.8158312989353864,3.3136574295937926,2.785188577990982,0,0,0,0,0,0.0,0.0
2024-08-05,0.9730654,68.47,-0.21999999999999886,3.7087591952938372,0.01742533342228592,2.304893561491959,3.7087591952938372,4.364450905388464,3.6088652498722755,0,0,0,0,0,0.0,0.0
2024-08-06,0.9712994,68.25,1.1299999999999955,3.0343878638967934,0.014302805261309252,1.8857900128538654,3.0343878638967934,3.570853798404907,2.947299111570237,0,0,0,0,0,0.0,0.0
2024-08-07,0.97294307,69.38,0.8200000000000074,3.1770327009135677,0.01473126961232192,1.9744399221920703,3.1770327009135677,3.7387175920038134,3.0910719495172385,0,0,0,0,0,0.0,0.0
2024-08-08,0.9731608,70.2,0.4200000000000017,3.190975566792289,0.014623090078340627,1.983105036344909,3.190975566792289,3.7551254929765467,3.1053323353600377,0,0,0,0,0,0.0,0.0
2024-08-09,0.97070986,70.62,1.75,3.264448672965171,0.014870820104542614,2.02876658524665,3.264448672965171,3.8415883092103007,3.168832514311207,0,0,0,0,0,0.0,0.0
2024-08-12,0.97842836,72.37,-1.1200000000000045,3.1233686224892714,0.013884091239422436,1.9410891484344983,3.1233686224892714,3.675565949275712,3.0559924389776367,0,0,0,0,0,0.0,0.0
2024-08-13,0.9764454,71.25,-0.4099999999999966,3.571620875752298,0.016126245705602064,2.2196658038779793,3.571620875752298,4.2030671564392135,3.4874927746723032,0,0,0,0,0,0.0,0.0
2024-08-14,0.97677785,70.84,0.7099999999999937,3.459012114921403,0.01570819627404549,2.14968250376616,3.459012114921403,4.070549680301448,3.3786864167368806,0,0,0,0,0,0.0,0.0
2024-08-15,0.972159,71.55,-1.039999999999992,3.4199283061891648,0.015376594168645381,2.1253929733971275,3.4199283061891648,4.0245560324464185,3.3247140822165524,0,0,0,0,0,0.0,0.0
2024-08-16,0.9789809,70.51,-1.0400000000000063,3.2721321007866404,0.014929075086453842,2.033541627891199,3.2721321007866404,3.8506301320265277,3.203354828946996,0,0,0,0,0,0.0,0.0
2024-08-19,0.97858757,69.47,-0.6500000000000057,3.3612000830022684,0.015565026172588139,2.0888949705952453,3.3612000830022684,3.9554449272592294,3.289228621508988,0,0,0,0,0,0.0,0.0
2024-08-20,0.9769847,68.82,-0.769999999999996,3.363874382053666,0.015724537832562866,2.0905569751473045,3.363874382053666,3.9585920301854483,3.2864538039883864,0,0,0,0,0,0.0,0.0
2024-08-21,0.9784424,68.05,0.6099999999999994,3.2717230880022576,0.015466825928136503,2.0332874375046983,3.2717230880022576,3.8501488076473716,3.2011925903603404,0,0,0,0,0,0.0,0.0
2024-08-22,0.9712679,68.66,1.3100000000000023,3.3039006391378662,0.015480178616215423,2.0532849155105914,3.3039006391378662,3.8880152030620962,3.208972635584093,0,0,0,0,0,0.0,0.0
2024-08-23,0.97120965,69.97,1.269999999999996,3.2483755744557765,0.014935066162965869,2.0187775891116244,3.2483755744557765,3.8226735601937727,3.1548537047357437,0,0,0,0,0,0.0,0.0
2024-08-26,0.97286034,71.24,-1.0499999999999972,3.5408492911687723,0.015989552897018266,2.2005420960693214,3.5408492911687723,4.1668552960503735,3.444751845295211,0,0,0,0,0,0.0,0.0
2024-08-27,0.98134583,70.19,-0.8599999999999994,3.5346499405105734,0.01620033351393642,2.196689367254885,3.5346499405105734,4.1595599284710145,3.468713979629799,0,0,0,0,0,0.0,0.0
2024-08-28,0.9831141,69.33,0.9099999999999966,3.5809050851887063,0.016615920216087408,2.225435689013869,3.5809050851887063,4.213992771758742,3.520438280010718,0,0,0,0,0,0.0,0.0
2024-08-29,0.98259705,70.24,-1.3199999999999932,3.5807229291678384,0.016399817038102393,2.225322483972081,3.5807229291678384,4.213778411384198,3.518407787067677,0,0,0,0,0,0.0,0.0
2024-08-30,0.9811767,68.92,-2.210000000000008,3.5145554249289566,0.01640506352241095,2.1842011691415806,3.5145554249289566,4.1359127941855585,3.4483998937988916,1,0,0,0,0,0.0,0.0
2024-09-03,0.9797641,66.71,-0.4899999999999949,3.5648512254586397,0.017191083815937536,2.215458649260013,3.5648512254586397,4.195100662849979,3.4927132525453812,0,0,0,0,0,0.0,0.0
